Title,Abstract,Access Type,Affiliations,Art. No.,Author Affiliations,Authors,Authors with affiliations,Citation Count,Copyright Year,DOI,Database,DOI counts,DOI count,Date Added To Xplore,End Page,Funding Information,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,ISBN,ISSN,Issue,Issue Date,Journal,Source Title,Keywords,License,Local ID,Meeting Date,Mesh_Terms,Online Date,PDF Link,Page count,Page end,Page start,Pages,Patent Citation Count,Publisher,Reference Count,Source,Source ISBN,Source ISSN,Source Title,Start Page,Type,URL,Unnamed: 12,Volume,Volume.1,Year,acronym,booktitle,cluster_id,conf_loc,description,edition,issue_date,issue_no,key,month,num_pages,num_versions,number,pages,pdf_url,publisher_loc,url_citation,url_citations,venue
Adapting difficulty levels in personalized robot-child tutoring interactions,".Social roliots can be used to tutor children in one-on-one interactions. Because students have different learning needs, they consequenUy require complex, non-scripted teaching behaviors that adapt to the learning needs of each child. As a result of this, robot tutors are more effective given a means of adaptively customizing the pace and content of a student's curriculum. In this paper we propose a reinforcement learning-based approach that affords such capabilities to a tutoring robot, with the goals of fostering measurable learning gains and sustained engagement. We outline an architecture in which the robot uses reinforcement learning to adapt the difficulty of its exercises. Further, we describe a proposed study capable of evaluating the effectiveness of our Intelligent Tutoring System. © Copyright 2014, Association for the Advancement of Artificial Intelligence (www.aaia.org). All rights reserved.",,"Yale University, 51 Prospect St., New Haven, CT, United States",,,"Ramacliandran A., Scassellati B.","Ramacliandran, A., Yale University, 51 Prospect St., New Haven, CT, United States; Scassellati, B., Yale University, 51 Prospect St., New Haven, CT, United States",3,,,SCOPUS,0,,,,,,,,,,,,,AAAI Workshop - Technical Report,,,2-s2.0-84974815499,,,,,,59,56,,,,,Scopus,,,AAAI Workshop - Technical Report,,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974815499&partnerID=40&md5=75adeaedcf63bcb3f1c3d765aa90e4d7,,WS-14-07,,2014,,,,,,,,,,,,,,,,,,,
Customizing treatment to the patient: Adaptive treatment strategies,[No abstract available],,"Institute for Social Research, University of Michigan, 426 Thompson St, Ann Arbor, MI 48106-1248, United States; The Methodology Center, Department of Human Development and Family Studies, The Pennsylvania State University, University Park, PA 16802, United States; University of Texas, Southwestern Medical Center at Dallas, Dallas, TX 75390, United States",,,"Murphy S.A., Collins L.M., Rush A.J.","Murphy, S.A., Institute for Social Research, University of Michigan, 426 Thompson St, Ann Arbor, MI 48106-1248, United States; Collins, L.M., The Methodology Center, Department of Human Development and Family Studies, The Pennsylvania State University, University Park, PA 16802, United States; Rush, A.J., University of Texas, Southwestern Medical Center at Dallas, Dallas, TX 75390, United States",48,,10.1016/j.drugalcdep.2007.02.001,SCOPUS,1,,,,,,,,,,SUPPL. 2,,,Drug and Alcohol Dependence,Clinical decision support; Control engineering; Experimental design; Individualized care; Reinforcement learning; Stepped care; Structured treatment interruptions,,2-s2.0-34047213941,,,,,,S3,S1,,,,,Scopus,,,Drug and Alcohol Dependence,,Editorial,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047213941&doi=10.1016%2fj.drugalcdep.2007.02.001&partnerID=40&md5=e148da8ef07ce304ef8306445b05a86a,,88,,2007,,,,,,,,,,,,,,,,,,,
Dynamic Information Retrieval Modeling,"<p> Big data and human-computer information retrieval (HCIR) are changing IR. They capture the dynamic changes in the data and dynamic interactions of users with IR systems. A dynamic system is one which changes or adapts over time or a sequence of events. Many modern IR systems and data exhibit these characteristics which are largely ignored by conventional techniques. What is missing is an ability for the model to change over time and be responsive to stimulus. Documents, relevance, users and tasks all exhibit dynamic behavior that is captured in data sets typically collected over long time spans and models need to respond to these changes. Additionally, the size of modern datasets enforces limits on the amount of learning a system can achieve. Further to this, advances in IR interface, personalization and ad display demand models that can react to users in real time and in an intelligent, contextual way. </p> <p>In this book we provide a comprehensive and up to-date introduction to Dynamic Information Retrieval Modeling, the statistical modeling of IR systems that can adapt to change. We define <i>dynamics</i>, what it means within the context of IR and highlight examples of problems where dynamics play an important role. We cover techniques ranging from classic relevance feedback to the latest applications of partially observable Markov decision processes (POMDPs) and a handful of useful algorithms and tools for solving IR problems incorporating dynamics. </p> <p>The theoretical component is based around the Markov Decision Process (MDP), a mathematical framework taken from the field of Artificial Intelligence (AI) that enables us to construct models that change according to sequential inputs. We define the framework and the algorithms commonly used to optimize over it and generalize it to the case where the inputs aren't reliable. We explore the topic of reinforcement learning more broadly and introduce nother tool known as a Multi-Armed Bandit which is useful for cases where exploring model parameters is beneficial. Following this we introduce theories and algorithms which can be used to incorporate dynamics into an IR model before presenting an array of state-of-the-art research that already does, such as in the areas of session search and online advertising. </p> <p>Change is at the heart of modern Information Retrieval systems and this book will help equip the reader with the tools and knowledge needed to understand <i>Dynamic Information Retrieval Modeling</i>. </p>",,,,,G. H. Yang; M. Sloan; J. Wang,,,2016,10.2200/S00718ED1V01Y201605ICR049,IEEE Xplore,1,,20160706,,,,,,,,,,,Dynamic Information Retrieval Modeling,Markov decision process;dynamic information retrieval;information retrieval;information retrieval evaluation;information retrieval models;recommender systems;reinforcement learning,,,,,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=7503460.pdf&bkn=7503459&pdfType=book,,,,,,Morgan & Claypool,,,97816270552,,Dynamic Information Retrieval Modeling,,Morgan and Claypool eBooks,,,,,2016,,,,,,,,,,,,,,,,,,,
Reward Sensitivity of ACC as an Intermediate Phenotype between DRD4-521T and Substance Misuse,"<para>The development and expression of the midbrain dopamine system is determined in part by genetic factors that vary across individuals such that dopamine-related genes are partly responsible for addiction vulnerability. However, a complete account of how dopamine-related genes predispose individuals to drug addiction remains to be developed. Adopting an intermediate phenotype approach, we investigated whether reward-related electrophysiological activity of ACC—a cortical region said to utilize dopamine reward signals to learn the value of extended, context-specific sequences of goal-directed behaviors—mediates the influence of multiple dopamine-related functional polymorphisms over substance use. We used structural equation modeling to examine whether two related electrophysiological phenomena associated with the control and reinforcement learning functions of ACC—theta power and the reward positivity—mediated the relationship between the degree of substance misuse and genetic polymorphisms that regulate dopamine processing in frontal cortex. Substance use data were collected from 812 undergraduate students. One hundred ninety-six returned on a subsequent day to participate in an electrophysiological experiment and to provide saliva samples for DNA analysis. We found that these electrophysiological signals mediated a relationship between the DRD4-521T dopamine receptor genotype and substance misuse. Our results provide a theoretical framework that bridges the gap between genes and behavior in drug addiction and illustrate how future interventions might be individually tailored for specific genetic and neurocognitive profiles.</para>",,,,1University of Victoria,T. E. Baker; T. Stockwell; G. Barnes; R. Haesevoets; C. B. Holroyd,,,,10.1162/jocn_a_00905,IEEE Xplore,1,,20160204,471,,,,,,0898-929X;0898929X,3,March 2016,,Journal of Cognitive Neuroscience,,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7395964,,,,,,MIT Press,,,,,Journal of Cognitive Neuroscience,460,MIT Press Journals,,,28,,2016,,,,,,,,,,,,,,,,,,,
Past Makes Future: Role of pFC in Prediction,"<para>The pFC enables the essential human capacities for predicting future events and preadapting to them. These capacities rest on both the structure and dynamics of the human pFC. Structurally, pFC, together with posterior association cortex, is at the highest hierarchical level of cortical organization, harboring neural networks that represent complex goal-directed actions. Dynamically, pFC is at the highest level of the perception–action cycle, the circular processing loop through the cortex that interfaces the organism with the environment in the pursuit of goals. In its predictive and preadaptive roles, pFC supports cognitive functions that are critical for the temporal organization of future behavior, including planning, attentional set, working memory, decision-making, and error monitoring. These functions have a common future perspective and are dynamically intertwined in goal-directed action. They all utilize the same neural infrastructure: a vast array of widely distributed, overlapping, and interactive cortical networks of personal memory and semantic knowledge, named cognits, which are formed by synaptic reinforcement in learning and memory acquisition. From this cortex-wide reservoir of memory and knowledge, pFC generates purposeful, goal-directed actions that are preadapted to predicted future events.</para>",,,,"1University of California, Los Angeles",J. M. Fuster; S. L. Bressler,,0,,10.1162/jocn_a_00746,IEEE Xplore,1,,20150305,654,,,,,,0898-929X;0898929X,4,April 2015,,Journal of Cognitive Neuroscience,,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7052276,,,,,,MIT Press,,,,,Journal of Cognitive Neuroscience,639,MIT Press Journals,,,27,,2015,,,,,,,,,,,,,,,,,,,
Closed-loop algorithm to detect human face using color and reinforcement learning,"A closed-loop algorithm to detect human face using color information and reinforcement learning is presented in this paper. By using a skin-color selector, the regions with color like that of human skin are selected as candidates for human face. In the next stage, the candidates are matched with a face model and given an evaluation of the match degree by the matching module. And if the evaluation of the match result is too low, a reinforcement learning stage will start to search the best parameters of the skin-color selector. It has been tested using many photos of various ethnic groups under various lighting conditions, such as different light source, high light and shadow. And the experiment result proved that this algorithm is robust to the varying lighting conditions and personal conditions.",,"Inst. of Info. Syst. and Elec. Eng., Zhejiang Univ., Hangzhou 310027, China",,,"Wu D.-H., Ye X.-Q., Gu W.-K.","Wu, D.-H., Inst. of Info. Syst. and Elec. Eng., Zhejiang Univ., Hangzhou 310027, China; Ye, X.-Q., Inst. of Info. Syst. and Elec. Eng., Zhejiang Univ., Hangzhou 310027, China; Gu, W.-K., Inst. of Info. Syst. and Elec. Eng., Zhejiang Univ., Hangzhou 310027, China",,,10.1631/jzus.2002.0072,SCOPUS,1,,,,,,,,,,1,,,Journal of Zhejinag University: Science,Human face detection; Reinforcement learning; Skin-color selector,,2-s2.0-0036050298,,,,,,76,72,,,,,Scopus,,,Journal of Zhejinag University: Science,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036050298&doi=10.1631%2fjzus.2002.0072&partnerID=40&md5=8597918e640b41e2055b3140993f6bbb,,3,,2002,,,,,,,,,,,,,,,,,,,
Dynamic treatment regimes,"A dynamic treatment regime consists of a sequence of decision rules, one per stage of intervention, that dictate how to individualize treatments to patients, based on evolving treatment and covariate history. These regimes are particularly useful for managing chronic disorDers and fit well into the larger paradigm of personalized medicine. They provide one way to operationalize a clinical decision support system. Statistics plays a key role in the construction of evidence-based dynamic treatment regimes-informing the best study design as well as efficient estimation and valid inference. Owing to the many novel methodological challenges this area offers, it has been growing in popularity among statisticians in recent years. In this article, we review the key developments in this exciting field of research. In particular, we discuss the sequential multiple assignment randomized trial designs, estimation techniques like Q-learning and marginal structural models, and several inference techniques designed to address the associated nonstandard asymptotics. We reference software whenever available. We also outline some important future directions. © 2014 by Annual Reviews.",,"Duke-NUS Graduate Medical School, National University of Singapore, Singapore, Singapore; Department of Statistics and Institute for Social Research, University of Michigan, Ann Arbor, MI 48109, United States",,,"Chakraborty B., Murphy S.A.","Chakraborty, B., Duke-NUS Graduate Medical School, National University of Singapore, Singapore, Singapore; Murphy, S.A., Department of Statistics and Institute for Social Research, University of Michigan, Ann Arbor, MI 48109, United States",24,,10.1146/annurev-statistics-022513-115553,SCOPUS,1,,,,,,,,,,,,,Annual Review of Statistics and Its Application,Dynamic treatment regime; Nonregularity; Q-learning; Reinforcement learning; Sequential randomization,,2-s2.0-84906077445,,,,,,464,447,,,,,Scopus,,,Annual Review of Statistics and Its Application,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906077445&doi=10.1146%2fannurev-statistics-022513-115553&partnerID=40&md5=ce47ee4c06d6e2fbd95907910f5528cc,,1,,2014,,,,,,,,,,,,,,,,,,,
Hardware implementation of FAST-based reinforcement learning algorithm,"A FAST-based (Flexible Adaptable-Size Topology) reinforcement learning chip is implemented in this article. Basically, the FAST is an ART-like (Adaptive Resonance Theory) mechanism. The ART is characterized as one of unsupervised learning neural network models, facilitated to solve stability-plasticity dilemma. The chip is a self organizing architecture which consists of three main structures including similarity, learning, and pruning. Dynamically adjusting the size of sensitivity regions of each neuron and adaptively pruning one of the neurons when an input pattern activates more than one neuron, the chip can preserve hardware resources (available neurons) to accommodate more categories. The clustered result by the implemented chip is then sent to an AHC (Adaptive Heuristic Critic) architecture (emulated by a personal computer) to learn to balance an inverted pendulum system which is also emulated by the personal computer for verifying the implemented architecture. © 2005 IEEE.",,"Department of Electrical, National Chung-Cheng University, Chiayi 711, Taiwan; Department of Computer Science and Information Engineering, National Formosa University, Yunlin 632, Taiwan",,,"Hwang K.-S., Hsu Y.-P., Hsieh H.-W., Lin H.-Y.","Hwang, K.-S., Department of Electrical, National Chung-Cheng University, Chiayi 711, Taiwan; Hsu, Y.-P., Department of Computer Science and Information Engineering, National Formosa University, Yunlin 632, Taiwan; Hsieh, H.-W., Department of Electrical, National Chung-Cheng University, Chiayi 711, Taiwan; Lin, H.-Y., Department of Electrical, National Chung-Cheng University, Chiayi 711, Taiwan",5,,,SCOPUS,0,,,,,,,,,,,,,"Proceedings of the 2005 IEEE International Workshop on VLSI Design and Video Technology, IWVDVT 2005",,,2-s2.0-23844518746,,,,,,146,143,,,,,Scopus,,,"Proceedings of the 2005 IEEE International Workshop on VLSI Design and Video Technology, IWVDVT 2005",,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-23844518746&partnerID=40&md5=d9d8f4f08fe1f1ca5c563113c35f8811,,,,2005,,,,,,,,,,,,,,,,,,,
Personalized-Proctorial Instruction fir Dynamic Systems and Control,A highly promising teaching technique using reinforcement learning theory and individually paced instruction is analyzed and shown to offer several advantages in conducting dynamic systems and control courses. © 1972 ASME.,,"Mechanical Engineering Department, University of Texas at Austin, Austin, TX, United States",,,Hoberock L.L.,"Hoberock, L.L., Mechanical Engineering Department, University of Texas at Austin, Austin, TX, United States",1,,10.1115/1.3426564,SCOPUS,1,,,,,,,,,,2,,,"Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME",,,2-s2.0-85024532643,,,,,,167,165,,,,,Scopus,,,"Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME",,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024532643&doi=10.1115%2f1.3426564&partnerID=40&md5=c287f59b6aa7640be6e383ac9b1045db,,94,,1972,,,,,,,,,,,,,,,,,,,
Changes in the digital divide: A case from Belgium: Colloquium,"A major concern about the use of information and communication technology (ICT) in adult education is that the digital divide may reinforce the already existing learning divide, because it runs along the same lines of socio-economic class, gender and ethnicity. A case study of family day care providers (FDC) in Flanders, Belgium is presented to study the potentialities and problems with low professional status, as well as a target group for enhancing professionalism. A study was conducted to assess to what degree technology may be integrated in FDC provider's experience, cultures and beliefs. An analysis of covariance (ANCOVA) of the perceived PC skills as dependant variable and including education, previous work experiences with a PC, previous adult training in PC use, and age as independent variables showed that only age as independent variable was interrelated with PC skills. The result also showed that anxiety and motivation in the sample need to be considered as personal variables that may not run along tradition lines of the digital divide.",,"Ghent University, SocialWelfare Studies, Dunantlaan 2, B-9000 Gent, Belgium",,,"Vandenbroeck M., Verschelden G., Boonaert T., Haute L.V.","Vandenbroeck, M., Ghent University, SocialWelfare Studies, Dunantlaan 2, B-9000 Gent, Belgium; Verschelden, G.; Boonaert, T.; Haute, L.V.",4,,10.1111/j.1467-8535.2007.00698.x,SCOPUS,1,,,,,,,,,,4,,,British Journal of Educational Technology,,,2-s2.0-34250010931,,,,,,743,742,,,,,Scopus,,,British Journal of Educational Technology,,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250010931&doi=10.1111%2fj.1467-8535.2007.00698.x&partnerID=40&md5=0e7cb21f6ecfac56d03ef05ac6363b9f,,38,,2007,,,,,,,,,,,,,,,,,,,
