ID,Preference Author1,Preference Author2,Preference Author3,Preference Author4,Title,Abstract / URL / DOI,Abstract,Access Type,Affiliations,Art. No.,Author Affiliations,Keywords,Screening,Check,A RL or CB algorithm is used (reject/ accept/ uncertain),Check (agree/ disagree),Definition of personalization & direction (reject/ accept/ uncertain),Check (agree/ disagree).1,Peer-reviewed & English (reject/ accept/ uncertain),Check (agree/ disagree).2,Domain,Check (agree/ disagree).3,Remarks,Remarks.1,"Screening result (a/r/u): automatic
",Check result (a/d): automatic,Source Title,PDF Link,URL,Authors,Authors with affiliations,Citation Count,Copyright Year,DOI,Database,DOI counts,DOI count,Date Added To Xplore,End Page,Funding Information,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,ISBN,ISSN,Issue,Issue Date,Journal,License,Local ID,Meeting Date,Mesh_Terms,Online Date,Page count,Page end,Page start,Pages,Patent Citation Count,Publisher,Reference Count,Source,Source ISBN,Source ISSN,Start Page,Type,Unnamed: 64,Unnamed: 12,Volume,Volume.1,Year if accepted,Year,0,1,2,Egibility check
0,1,1,1,1,Personalized automatic image annotation based on reinforcement learning,"With the rapidly increasing number of personal image collections on the web, it is of great importance to annotate these user-uploaded images in personalized manner. But personalized image annotation is largely ignored by the mainstream of image annotation research. In this paper, we focus on personalizing the automatic image annotation by proposing a general framework which jointly exploits the generic content-based image annotation, personal image tagging history and the content of personal history images. In our framework, two sets of candidate annotations are extracted for each image based on content-based annotation and personal image tagging history. Considering that the user's interest may not stay the same, when exploiting the personal image tagging history, we also take the content of personal history images into account to avoid the noise. To get the final annotations, we propose an unsupervised algorithm based on reinforcement learning to combine the above two candidate annotation sets. Encouraging results show that the proposed framework is effective and promising for personalizing automatic image annotation.","With the rapidly increasing number of personal image collections on the web, it is of great importance to annotate these user-uploaded images in personalized manner. But personalized image annotation is largely ignored by the mainstream of image annotation research. In this paper, we focus on personalizing the automatic image annotation by proposing a general framework which jointly exploits the generic content-based image annotation, personal image tagging history and the content of personal history images. In our framework, two sets of candidate annotations are extracted for each image based on content-based annotation and personal image tagging history. Considering that the user's interest may not stay the same, when exploiting the personal image tagging history, we also take the content of personal history images into account to avoid the noise. To get the final annotations, we propose an unsupervised algorithm based on reinforcement learning to combine the above two candidate annotation sets. Encouraging results show that the proposed framework is effective and promising for personalizing automatic image annotation.",,,,"Zhejiang Provincial Key Laboratory of Service Robot, College of Computer Science, Zhejiang University, Hangzhou 310027, China",Automatic image annotation;Personal image tagging history;Personalization;Reinforcement learning,Author4,Author1,a,a,a,a,a,a,Personal Assistants,a,Not 100% sure about the domain...,,a,a,2013 IEEE International Conference on Multimedia and Expo (ICME),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6607456,,Yabo Ni; Miao Zheng; Jiajun Bu; Chun Chen; Dazhou Wang,,0,,10.1109/ICME.2013.6607456,IEEE Xplore,1,,20130926,6,,History;Learning (artificial intelligence);Noise;Semantics;Tagging;Unsupervised learning;Vocabulary,Internet;image classification;image retrieval;learning (artificial intelligence),Web;generic content-based image annotation;personal image collections;personal image tagging history;personalized automatic image annotation;reinforcement learning;user-uploaded images,,1945-7871;19457871,,15-19 July 2013,,,,,,,,,,,,IEEE,14,,Electronic:978-1-4799-0015-2; POD:978-1-4799-0014-5; USB:978-1-4799-0013-8,,1,IEEE Conferences,,,,,2013,2013,0,4,0,Author2
1,1,1,1,1,Automatically Learning User Preferences for Personalized Service Composition,"With the rapid growth of the web services technologies, users often leverage various web services to perform their daily activities, such as on-line shopping. Due to the massive amount of web services available, a user faces numerous choices to meet their personal preferences when selecting the desired services from the web services with the similar functionality. Therefore, it becomes tedious and cumbersome tasks for users to discover and compose services. To reduce user's cognitive burden, it is critical to support automated service composition and make efficient recommendation of personalized services to achieve user's overall goals. However, existing approaches only offer users with limited options designed for the interest of a group of users without considering individual users' interests. To allow users to compose personalized services without much manual specification, we propose a machine learning approach that applies a learning-to-rank algorithm, RankBoost, to automatically learn user preferences and the prioritization of the preferences from users' historical data. Moreover, our approach uses the multi-objective reinforcement learning (MORL) algorithm to make trade-offs among user preferences and recommends a collection of services to achieve the highest objective. We conduct an empirical study to evaluate our approach by collecting the historical data from 12 subjects. The results demonstrate that our approach outperforms the two well-established baseline approaches by 100%-200% in terms of precision on recommending services.","With the rapid growth of the web services technologies, users often leverage various web services to perform their daily activities, such as on-line shopping. Due to the massive amount of web services available, a user faces numerous choices to meet their personal preferences when selecting the desired services from the web services with the similar functionality. Therefore, it becomes tedious and cumbersome tasks for users to discover and compose services. To reduce user's cognitive burden, it is critical to support automated service composition and make efficient recommendation of personalized services to achieve user's overall goals. However, existing approaches only offer users with limited options designed for the interest of a group of users without considering individual users' interests. To allow users to compose personalized services without much manual specification, we propose a machine learning approach that applies a learning-to-rank algorithm, RankBoost, to automatically learn user preferences and the prioritization of the preferences from users' historical data. Moreover, our approach uses the multi-objective reinforcement learning (MORL) algorithm to make trade-offs among user preferences and recommends a collection of services to achieve the highest objective. We conduct an empirical study to evaluate our approach by collecting the historical data from 12 subjects. The results demonstrate that our approach outperforms the two well-established baseline approaches by 100%-200% in terms of precision on recommending services.",,,,"Queen's Univ., Kingston, ON, Canada",,Author1,Author2,a,a,a,a,a,a,Recommender Systems,,,,a,a,2017 IEEE International Conference on Web Services (ICWS),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029835,,Y. Zhao; S. Wang; Y. Zou; J. Ng; T. Ng,,,,10.1109/ICWS.2017.93,IEEE Xplore,1,,20170911,783,,Data mining;Feature extraction;History;Learning (artificial intelligence);Machine learning algorithms;Time-frequency analysis;Web services,Internet;Web services;learning (artificial intelligence);recommender systems;retail data processing,MORL algorithm;RankBoost;Web service technologies;automated service composition;automatic user preference learning;learning-to-rank algorithm;machine learning approach;multiobjective reinforcement learning algorithm;online shopping;personalized service composition;service recommendation,,,,25-30 June 2017,,,,,,,,,,,,IEEE,,,Electronic:978-1-5386-0752-7; POD:978-1-5386-0753-4,,776,IEEE Conferences,,,,,2017,2017,0,4,0,Author2
2,0,0,0,0,Machine learning methods for big spectrum data processing,"With the rapid development of the mobile Internet and the Internet of Things, the number of personal wireless devices has grown exponentially, resulting in the increase of massive spectrum data. Therefore, the big spectrum data are literally formed. Meanwhile, the spectrum deficit is also increasingly precarious. Effective big spectrum data processing is significant in improving the spectrum utilization. Firstly, from a perspective of wireless communication, a definition of big spectrum data is presented and its characteristics are also analyzed. Then, promising machine learning methods to analyze and utilize the big spectrum data are summarized, such as, the distributed and parallel learning, extreme learning machine, kernel-based learning, deep learning, reinforcement learning, game learning, and transfer learning. Finally, several open issues and research trends are addressed. ©, 2015, Journal of Data Acquisition and Processing. All right reserved.","With the rapid development of the mobile Internet and the Internet of Things, the number of personal wireless devices has grown exponentially, resulting in the increase of massive spectrum data. Therefore, the big spectrum data are literally formed. Meanwhile, the spectrum deficit is also increasingly precarious. Effective big spectrum data processing is significant in improving the spectrum utilization. Firstly, from a perspective of wireless communication, a definition of big spectrum data is presented and its characteristics are also analyzed. Then, promising machine learning methods to analyze and utilize the big spectrum data are summarized, such as, the distributed and parallel learning, extreme learning machine, kernel-based learning, deep learning, reinforcement learning, game learning, and transfer learning. Finally, several open issues and research trends are addressed. ©, 2015, Journal of Data Acquisition and Processing. All right reserved.",,"College of Communications Engineering, PLA University of Science and Technology, Nanjing, China",,,Big data; Big spectrum data; Data mining; Internet of Things; Machine learning; Wireless communication,Author2,Author3,a,a,u,a,a,a,"Other (please in ""remark"")",a,Spectrum data,"From this url [0] it seems that this is a publication in Chinese.
[0] https://www-scopus-com.vu-nl.idm.oclc.org/record/display.uri?eid=2-s2.0-84941894431&doi=10.16337%2fj.1004-9037.2015.04.001&origin=inward&txGid=ab1985e0ab1e9afc52eaaa133f0a9be5",u,a,Shuju Caiji Yu Chuli/Journal of Data Acquisition and Processing,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941894431&doi=10.16337%2fj.1004-9037.2015.04.001&partnerID=40&md5=e9115001bb97be1c11c6026d71376b47,"Wu Q., Qiu J., Ding G.","Wu, Q., College of Communications Engineering, PLA University of Science and Technology, Nanjing, China; Qiu, J., College of Communications Engineering, PLA University of Science and Technology, Nanjing, China; Ding, G., College of Communications Engineering, PLA University of Science and Technology, Nanjing, China",3,,10.16337/j.1004-9037.2015.04.001,SCOPUS,1,,,,,,,,,,4,,,,2-s2.0-84941894431,,,,,713,703,,,,,Scopus,,,,Article,,,30,,,2015,4,0,0,Author2
3,2,2,2,2,A Reinforcement Learning-Based Adaptive Learning System,"With the plethora of educational and e-learning systems and the great variation in students’ personal and social factors that affect their learning behaviors and outcomes, it has become mandatory for all educational systems to adapt to the variability of these factors for each student. Since there is a large number of factors that need to be taken into consideration, the task is very challenging. In this paper, we present an approach that adapts to the most influential factors in a way that varies from one learner to another, and in different learning settings, including individual and collaborative learning. The approach utilizes reinforcement learning for building an intelligent environment that, not only provides a method for suggesting suitable learning materials, but also provides a methodology for accounting for the continuously-changing students’ states and acceptance of technology. We evaluate our system through simulations. The obtained results are promising and show the feasibility of the proposed approach. © 2018, Springer International Publishing AG.","With the plethora of educational and e-learning systems and the great variation in students’ personal and social factors that affect their learning behaviors and outcomes, it has become mandatory for all educational systems to adapt to the variability of these factors for each student. Since there is a large number of factors that need to be taken into consideration, the task is very challenging. In this paper, we present an approach that adapts to the most influential factors in a way that varies from one learner to another, and in different learning settings, including individual and collaborative learning. The approach utilizes reinforcement learning for building an intelligent environment that, not only provides a method for suggesting suitable learning materials, but also provides a methodology for accounting for the continuously-changing students’ states and acceptance of technology. We evaluate our system through simulations. The obtained results are promising and show the feasibility of the proposed approach. © 2018, Springer International Publishing AG.",,"Center for Learning Technologies, University of Science and Technology, Zewail City, Giza, Egypt",,,Adaptive learning; Computer-supported collaborative learning; Reinforcement Learning,Author3,Author4,a,a,a,a,a,a,Intelligent Tutors,a,,,a,a,Advances in Intelligent Systems and Computing,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041837617&doi=10.1007%2f978-3-319-74690-6_22&partnerID=40&md5=7086141d27c694a3b289e9ba955acc61,"Shawky D., Badawi A.","Shawky, D., Center for Learning Technologies, University of Science and Technology, Zewail City, Giza, Egypt; Badawi, A., Center for Learning Technologies, University of Science and Technology, Zewail City, Giza, Egypt",,,10.1007/978-3-319-74690-6_22,SCOPUS,1,,,,,,,,,,,,,,2-s2.0-85041837617,,,,,231,221,,,,,Scopus,,,,Conference Paper,,,723,,2018,2018,0,0,4,Author4
4,0,0,0,0,Learning-based ship design optimization approach,"With the development of computer applications in ship design, optimization, as a powerful approach, has been widely used in the design and analysis process. However, the running time, which often varies from several weeks to months in the current computing environment, has been a bottleneck problem for optimization applications, particularly in the structural design of ships. To speed up the optimization process and adjust the complex design environment, ship designers usually rely on their personal experience to assist the design work. However, traditional experience, which largely depends on the designer's personal skills, often makes the design quality very sensitive to the experience and decreases the robustness of the final design. This paper proposes a new machine-learning-based ship design optimization approach, which uses machine learning as an effective tool to give direction to optimization and improves the adaptability of optimization to the dynamic design environment. The natural human learning process is introduced into the optimization procedure to improve the efficiency of the algorithm. Q-learning, as an approach of reinforcement learning, is utilized to realize the learning function in the optimization process. The multi-objective particle swarm optimization method, multi-agent system, and CAE software are used to build an integrated optimization system. A bulk carrier structural design optimization was performed as a case study to evaluate the suitability of this method for real-world application. © 2011 Elsevier Ltd. All rights reserved.","With the development of computer applications in ship design, optimization, as a powerful approach, has been widely used in the design and analysis process. However, the running time, which often varies from several weeks to months in the current computing environment, has been a bottleneck problem for optimization applications, particularly in the structural design of ships. To speed up the optimization process and adjust the complex design environment, ship designers usually rely on their personal experience to assist the design work. However, traditional experience, which largely depends on the designer's personal skills, often makes the design quality very sensitive to the experience and decreases the robustness of the final design. This paper proposes a new machine-learning-based ship design optimization approach, which uses machine learning as an effective tool to give direction to optimization and improves the adaptability of optimization to the dynamic design environment. The natural human learning process is introduced into the optimization procedure to improve the efficiency of the algorithm. Q-learning, as an approach of reinforcement learning, is utilized to realize the learning function in the optimization process. The multi-objective particle swarm optimization method, multi-agent system, and CAE software are used to build an integrated optimization system. A bulk carrier structural design optimization was performed as a case study to evaluate the suitability of this method for real-world application. © 2011 Elsevier Ltd. All rights reserved.",,"Department of Naval Architecture and Marine Engineering, University of Strathclyde, Glasgow G4 0LZ, United Kingdom",,,Machine learning; Multi-objective optimization; Ship design; Structure analysis; Structure optimization,Author2,Author3,a,a,u,a,a,a,"Other (please in ""remark"")",d,Help in ship design,"I think this fits our definition of personalization as the optimization process is sped up and thus increases its personal relevance to that designer. If we find that the speedup is shared for all users, then we can discard it on the basis of 'no personalization'. Regarding the domain: I think we can make it more generic and put something like 'structural engineering'.",u,a,CAD Computer Aided Design,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855691014&doi=10.1016%2fj.cad.2011.06.011&partnerID=40&md5=77cd692740e8a4769780a062c5bfb89a,"Cui H., Turan O., Sayer P.","Cui, H., Department of Naval Architecture and Marine Engineering, University of Strathclyde, Glasgow G4 0LZ, United Kingdom; Turan, O., Department of Naval Architecture and Marine Engineering, University of Strathclyde, Glasgow G4 0LZ, United Kingdom; Sayer, P., Department of Naval Architecture and Marine Engineering, University of Strathclyde, Glasgow G4 0LZ, United Kingdom",13,,10.1016/j.cad.2011.06.011,SCOPUS,1,,,,,,,,,,3,,,,2-s2.0-84855691014,,,,,195,186,,,,,Scopus,,,,Article,,,44,,,2012,4,0,0,Author4
5,0,1,0,0,Towards a General Supporting Framework for Self-Adaptive Software Systems,"When confronted with their internal and environmental dynamics, various software systems increasingly require self-adaptation capabilities. The vision above requires the self-adaptation approach to tackle these challenges and some software systems have their own specific implementations. However, in this paper a general supporting framework is proposed for software systems to self-adapt with running environmental dynamics and meanwhile fulfill various user requirements. Three key issues are covered in the framework: 1) the overall control architecture, which adopts the double closed-loop style and respectively includes the self-adaptation loop and the self-learning loop; 2) a general descriptive language, which is a application-independent and unified language to represent self-adaptation knowledge about target systems; 3) three implementation mechanisms, including forward reasoning, planning and reinforcement learning using feedback, which are supported by the above descriptive language and executed at runtime in different modules. Finally, one scenario of on-demand services of massive data mining tasks is selected and the case study demonstrates how the framework is customized as required and how the approach works.","When confronted with their internal and environmental dynamics, various software systems increasingly require self-adaptation capabilities. The vision above requires the self-adaptation approach to tackle these challenges and some software systems have their own specific implementations. However, in this paper a general supporting framework is proposed for software systems to self-adapt with running environmental dynamics and meanwhile fulfill various user requirements. Three key issues are covered in the framework: 1) the overall control architecture, which adopts the double closed-loop style and respectively includes the self-adaptation loop and the self-learning loop; 2) a general descriptive language, which is a application-independent and unified language to represent self-adaptation knowledge about target systems; 3) three implementation mechanisms, including forward reasoning, planning and reinforcement learning using feedback, which are supported by the above descriptive language and executed at runtime in different modules. Finally, one scenario of on-demand services of massive data mining tasks is selected and the case study demonstrates how the framework is customized as required and how the approach works.",,,,"State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China",Double Closed-loop Control Arthitecture;General Descriptive Language;Hierarchical Task Network;Rete Algorithm;Self-Adaptive Supporting Framework;Self-Adaptive System,Author3,Author4,a,a,u,a,a,a,other,,"It is uncertain what constitutes the ""environment"" in the abstract. If it incorporates user information, it adheres to the definition. 

domain: software engineering","I would say that this fits, but you are right it can be debated. This is what Author3 will be working on during the next couple of weeks.",u,a,2012 IEEE 36th Annual Computer Software and Applications Conference Workshops,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6341568,,L. Wang; Y. Gao; C. Cao; L. Wang,,2,,10.1109/COMPSACW.2012.38,IEEE Xplore,1,,20121110,163,,Adaptation models;Cognition;Computer architecture;Learning;Monitoring;Planning;Software systems,data mining;inference mechanisms;software engineering;unsupervised learning,data mining;environmental dynamics;forward reasoning;general descriptive language;general supporting framework;on-demand service;overall control architecture;reinforcement learning;self-adaptation knowledge;self-adaptation loop;self-adaptive software system;self-learning loop,,,,16-20 July 2012,,,,,,,,,,,,IEEE,18,,Electronic:978-0-7695-4758-9; POD:978-1-4673-2714-5,,158,IEEE Conferences,,,,,,2012,3,1,0,Author2
6,1,0,2,1,Intelligent agent for E-tourism: Personalization travel support agent using reinforcement learning,"Web personalization and one to one marketing have been introduced as strategy and marketing tools. By using historical and present information of customers, organizations can learn, predict customer's behaviors and develop products to fit potential customers. In this study, a Personalization Travel Support System is introduced to manage traveling information for user. It provides the information that matches the users' interests. This system applies the Reinforcement Learning to analyze, learn customer behaviors and recommend products to meet customer interests. There are two learning approaches using in this study. First, Personalization Learner by Group Properties is learning from all users in one group to find the group interests of travel information by using given data on user ages and genders. Second, Personalization Learner by User Behavior: user profile, user behaviors and trip features will be analyzed to find the unique interest of each web user. The results from this study reveal that it is possible to develop Personalization Travel Support System. Using weighted trip features improve effectiveness and increase the accuracy of the personalized engine. Precision, Recall and Harmonic Mean of the learned system are higher than the original one. This study offers useful information regarding the areas of personalization of web support system.","Web personalization and one to one marketing have been introduced as strategy and marketing tools. By using historical and present information of customers, organizations can learn, predict customer's behaviors and develop products to fit potential customers. In this study, a Personalization Travel Support System is introduced to manage traveling information for user. It provides the information that matches the users' interests. This system applies the Reinforcement Learning to analyze, learn customer behaviors and recommend products to meet customer interests. There are two learning approaches using in this study. First, Personalization Learner by Group Properties is learning from all users in one group to find the group interests of travel information by using given data on user ages and genders. Second, Personalization Learner by User Behavior: user profile, user behaviors and trip features will be analyzed to find the unique interest of each web user. The results from this study reveal that it is possible to develop Personalization Travel Support System. Using weighted trip features improve effectiveness and increase the accuracy of the personalized engine. Precision, Recall and Harmonic Mean of the learned system are higher than the original one. This study offers useful information regarding the areas of personalization of web support system.",,"Department of Computer Science, Faculty of Science, Kasetsart University, Bangkok 10900, Thailand",,,Intelligent agent; Personalization; Recommendation algorithm; Reinforcement Learning,Author1,Author2,a,a,a,a,a,a,Recommender Systems,,,,a,a,CEUR Workshop Proceedings,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883477666&partnerID=40&md5=b8091062d9e61ff7714e961f19c584d9,"Srivihok A., Sukonmanee P.","Srivihok, A., Department of Computer Science, Faculty of Science, Kasetsart University, Bangkok 10900, Thailand; Sukonmanee, P., Department of Computer Science, Faculty of Science, Kasetsart University, Bangkok 10900, Thailand",,,,SCOPUS,0,,,,,,,,,,,,,,2-s2.0-84883477666,,,,4,,,,,,,Scopus,,,,Conference Paper,,,143,,2005,2005,1,2,1,Author3
7,2,1,2,2,Markov decision process based adaptive web advertisements scheduling,"We study web advertisements scheduling problem by fully considering the interaction of web users and web advertisements publishing system. We construct a Markov Decision Process (MDP) based web advertisements scheduling model and schedule advertisements publishing during the whole process of web surfing by the users, thus we make maximal use of personal behavior characteristics of every web user in the scheduling model. We also track the user habit with reinforcement learning, solve the MDP model by TD(λ) algorithm combing the function approximator, and obtain adaptive online scheduling policies for web advertisements publishing. © (2013) Trans Tech Publications, Switzerland.","We study web advertisements scheduling problem by fully considering the interaction of web users and web advertisements publishing system. We construct a Markov Decision Process (MDP) based web advertisements scheduling model and schedule advertisements publishing during the whole process of web surfing by the users, thus we make maximal use of personal behavior characteristics of every web user in the scheduling model. We also track the user habit with reinforcement learning, solve the MDP model by TD(λ) algorithm combing the function approximator, and obtain adaptive online scheduling policies for web advertisements publishing. © (2013) Trans Tech Publications, Switzerland.",,"Department of Industrial Engineering, Dongguan University of Technology, Dongguan 523808, China",,,Reinforcement learning; Scheduling; Web advertisements,Author2,Author3,a,a,a,a,a,a,Recommender Systems,a,,,a,a,Advanced Materials Research,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885049231&doi=10.4028%2fwww.scientific.net%2fAMR.765-767.1436&partnerID=40&md5=8ff8e90a548dd3e734a60cb6c1df0296,"Zhang Z.C., Li S., Hu K.S., Huang H.Y., Zhao S.Y.","Zhang, Z.C., Department of Industrial Engineering, Dongguan University of Technology, Dongguan 523808, China; Li, S., Department of Industrial Engineering, Dongguan University of Technology, Dongguan 523808, China; Hu, K.S., Department of Industrial Engineering, Dongguan University of Technology, Dongguan 523808, China; Huang, H.Y., Department of Industrial Engineering, Dongguan University of Technology, Dongguan 523808, China; Zhao, S.Y., Department of Industrial Engineering, Dongguan University of Technology, Dongguan 523808, China",,,10.4028/www.scientific.net/AMR.765-767.1436,SCOPUS,1,,,,,,,,,,,,,,2-s2.0-84885049231,,,,,1440,1436,,,,,Scopus,,,,Conference Paper,,,765-767,,2013,2013,0,1,3,Author4
8,1,0,2,1,Learning dialogue strategies for interactive database search,"We show how to learn optimal dialogue policies for a wide range of database search applications, concerning how many database search results to present to the user, and when to present them. We use Reinforcement Learning methods for a wide spectrum of different database simulations, turn penalty conditions, and noise conditions. Our objective is to show that our policy learning framework covers this spectrum. We can show that even for challenging cases learning significantly outperforms hand-coded policies tailored to the different operating situations. The polices are adaptive/context-sensitive in respect of both the overall operating situation (e.g. noise) and the local context of the interaction (e.g. user's last move). The learned policies produce an average relative increase in reward of 25.7% over the corresponding threshold-based hand-coded baseline policies.","We show how to learn optimal dialogue policies for a wide range of database search applications, concerning how many database search results to present to the user, and when to present them. We use Reinforcement Learning methods for a wide spectrum of different database simulations, turn penalty conditions, and noise conditions. Our objective is to show that our policy learning framework covers this spectrum. We can show that even for challenging cases learning significantly outperforms hand-coded policies tailored to the different operating situations. The polices are adaptive/context-sensitive in respect of both the overall operating situation (e.g. noise) and the local context of the interaction (e.g. user's last move). The learned policies produce an average relative increase in reward of 25.7% over the corresponding threshold-based hand-coded baseline policies.",,"Department of Computational Linguistics, Saarland University, Saarbrücken, Germany; School of Informatics, University of Edinburgh, Edinburgh, United Kingdom",,,Adaptive strategies; Database search; Dialogue systems; Multimodality; Reinforcement learning,Author1,Author2,a,a,a,a,a,a,Interfaces / HCI,,,,a,a,"International Speech Communication Association - 8th Annual Conference of the International Speech Communication Association, Interspeech 2007",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56149117477&partnerID=40&md5=0223cd1a2d0ddeecbd0b38a429aa35eb,"Rieser V., Lemon O.","Rieser, V., Department of Computational Linguistics, Saarland University, Saarbrücken, Germany; Lemon, O., School of Informatics, University of Edinburgh, Edinburgh, United Kingdom",,,,SCOPUS,0,,,,,,,,,,,,,,2-s2.0-56149117477,,,,,2044,2041,,,,,Scopus,,,,Conference Paper,,,3,,2007,2007,1,2,1,Author3
9,1,1,1,1,Swarm reinforcement learning algorithm based on particle swarm optimization whose personal bests have lifespans,"We recently proposed a swarm reinforcement learning algorithm based on particle swarm optimization (PSO) in order to find optimal policies rapidly. In this algorithm, multiple agents are prepared, and they learn not only by individual learning but also by an update procedure of PSO. In this procedure, state-action values are updated based on the personal best and the global best which are found by the agents so far. In this paper, we direct our attention to a problem that overvaluing personal bests brings inferior learning performance. In order not to update the state-action values based on the overvalued personal best, we propose a swarm reinforcement learning algorithm based on PSO in which the personal best of each agent has a lifespan. © 2009 Springer-Verlag Berlin Heidelberg.","We recently proposed a swarm reinforcement learning algorithm based on particle swarm optimization (PSO) in order to find optimal policies rapidly. In this algorithm, multiple agents are prepared, and they learn not only by individual learning but also by an update procedure of PSO. In this procedure, state-action values are updated based on the personal best and the global best which are found by the agents so far. In this paper, we direct our attention to a problem that overvaluing personal bests brings inferior learning performance. In order not to update the state-action values based on the overvalued personal best, we propose a swarm reinforcement learning algorithm based on PSO in which the personal best of each agent has a lifespan. © 2009 Springer-Verlag Berlin Heidelberg.",,"Kyoto Institute of Technology, Matsugasaki, Sakyo-ku, Kyoto, Japan",,,Particle swarm optimization; Reinforcement learning; Swarm intelligence,Author2,Author3,a,a,u,a,a,a,"Other (please in ""remark"")",a,Particle swarm optimization,"The application is not part of the abstract, so we cannot reject this paper based on 'no personalization'. I propose we accept it for now and check what the proposed algorithm is validated on.",u,a,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,https://www.scopus.com/inward/record.uri?eid=2-s2.0-76249096804&doi=10.1007%2f978-3-642-10684-2_19&partnerID=40&md5=ddde3d9d2f0fa887419a160c5928a5d5,"Iima H., Kuroe Y.","Iima, H., Kyoto Institute of Technology, Matsugasaki, Sakyo-ku, Kyoto, Japan; Kuroe, Y., Kyoto Institute of Technology, Matsugasaki, Sakyo-ku, Kyoto, Japan",1,,10.1007/978-3-642-10684-2_19,SCOPUS,1,,,,,,,,,,PART 2,,,,2-s2.0-76249096804,,,,,178,169,,,,,Scopus,,,,Conference Paper,,,5864 LNCS,,,2009,0,4,0,Author2
