database,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
ACM-DL,article,2939878,Chunqiu  Zeng and Qing  Wang and Shekoofeh  Mokhtari and Tao  Li,,,,Online Context-Aware Recommendation with Time Varying Multi-Armed Bandit,2025--2034,,10,"particle learning, personalization, probability matching, recommender system, time varying contextual bandit",10.1145/2939672.2939878,,,,,,,2016,,Proceedings of the 22Nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,KDD '16,,978-1-4503-4232-2,"San Francisco, California, USA",ACM,"New York, NY, USA"
ACM-DL,article,2741998,Georgios  Theocharous and Philip S. Thomas and Mohammad  Ghavamzadeh,,,,Ad Recommendation Systems for Life-Time Value Optimization,1305--1310,,6,"ad recommendation, off-policy evaluation, reinforcement learning",10.1145/2740908.2741998,,,,,,,2015,,Proceedings of the 24th International Conference on World Wide Web,WWW '15 Companion,,978-1-4503-3473-0,"Florence, Italy",ACM,"New York, NY, USA"
ACM-DL,article,1772758,Lihong  Li and Wei  Chu and John  Langford and Robert E. Schapire,,,,A Contextual-bandit Approach to Personalized News Article Recommendation,661--670,,10,"contextual bandit, exploration/exploitation dilemma, personalization, recommender systems, web service",10.1145/1772690.1772758,,,,,,,2010,,Proceedings of the 19th International Conference on World Wide Web,WWW '10,,978-1-60558-799-8,"Raleigh, North Carolina, USA",ACM,"New York, NY, USA"
ACM-DL,article,2645732,Liang  Tang and Yexi  Jiang and Lei  Li and Tao  Li,,,,Ensemble Contextual Bandits for Personalized Recommendation,73--80,,8,"contextual bandit, ctr prediction, ensemble recommendation, meta learning, personalized recommendation",10.1145/2645710.2645732,,,,,,,2014,,Proceedings of the 8th ACM Conference on Recommender Systems,RecSys '14,,978-1-4503-2668-1,"Foster City, Silicon Valley, California, USA",ACM,"New York, NY, USA"
ACM-DL,article,2767707,Liang  Tang and Yexi  Jiang and Lei  Li and Chunqiu  Zeng and Tao  Li,,,,Personalized Recommendation via Parameter-Free Contextual Bandits,323--332,,10,"bootstrapping, contextual bandit, personalization, probability matching, recommender systems",10.1145/2766462.2767707,,,,,,,2015,,Proceedings of the 38th International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR '15,,978-1-4503-3621-5,"Santiago, Chile",ACM,"New York, NY, USA"
ACM-DL,article,2959139,Zhen  Qin and Ish  Rishabh and John  Carnahan,,,,A Scalable Approach for Periodical Personalized Recommendations,23--26,,4,"contextual bandits, learning reductions, online learning, personalization, recommender systems, scalability",10.1145/2959100.2959139,,,,,,,2016,,Proceedings of the 10th ACM Conference on Recommender Systems,RecSys '16,,978-1-4503-4035-9,"Boston, Massachusetts, USA",ACM,"New York, NY, USA"
ACM-DL,article,2940728,Maxime C. Cohen and Ilan  Lobel and Renato  Paes Leme,,,,Feature-based Dynamic Pricing,817--817,,1,"contextual bandits, ellipsoid method, online ads, online learning, revenue management",10.1145/2940716.2940728,,,,,,,2016,,Proceedings of the 2016 ACM Conference on Economics and Computation,EC '16,,978-1-4503-3936-0,"Maastricht, The Netherlands",ACM,"New York, NY, USA"
ACM-DL,article,2514700,Liang  Tang and Romer  Rosales and Ajit  Singh and Deepak  Agarwal,,,,Automatic Ad Format Selection via Contextual Bandits,1587--1594,,8,"bandit algorithms, exploration/exploitation, layout, machine learning, offline evaluation, online advertising, personalization, recommender systems",10.1145/2505515.2514700,,,,,,,2013,,Proceedings of the 22Nd ACM International Conference on Information & Knowledge Management,CIKM '13,,978-1-4503-2263-8,"San Francisco, California, USA",ACM,"New York, NY, USA"
ACM-DL,article,2451185,Alexandros  Papangelis and Vangelis  Karkaletsis and Heng  Huang,,,,Towards Adaptive Dialogue Systems for Assistive Living Environments,29--32,,4,"adaptive dialogue systems, dialogue management, personalization, reinforcement learning",10.1145/2451176.2451185,,,,,,,2013,,Proceedings of the Companion Publication of the 2013 International Conference on Intelligent User Interfaces Companion,IUI '13 Companion,,978-1-4503-1966-9,"Santa Monica, California, USA",ACM,"New York, NY, USA"
ACM-DL,article,2983379,Miyoung  Han and Pierre  Senellart and St&#233;phane  Bressan and Huayu  Wu,,,,Routing an Autonomous Taxi with Reinforcement Learning,2421--2424,,4,"exploration, reinforcement learning",10.1145/2983323.2983379,,,,,,,2016,,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,CIKM '16,,978-1-4503-4073-1,"Indianapolis, Indiana, USA",ACM,"New York, NY, USA"
