database,@id,@score,authors,doi,ee,key,number,pages,title,type,url,venue,volume,year
DBLP,264264,3,"Indu Manickam, Andrew S. Lan, Richard G. Baraniuk",10.1109/ICASSP.2017.7953377,https://doi.org/10.1109/ICASSP.2017.7953377,conf/icassp/ManickamLB17,,6344-6348,Contextual multi-armed bandit algorithms for personalized learning action selection.,Conference and Workshop Papers,https://dblp.org/rec/conf/icassp/ManickamLB17,ICASSP,,2017
DBLP,359532,3,"Huitian Lei, Ambuj Tewari, Susan A. Murphy",,http://arxiv.org/abs/1706.09090,journals/corr/LeiTM17,,,An Actor-Critic Contextual Bandit Algorithm for Personalized Mobile Health Interventions.,Informal Publications,https://dblp.org/rec/journals/corr/LeiTM17,CoRR,abs/1706.09090,2017
DBLP,534724,3,"Andrew S. Lan, Richard G. Baraniuk",,http://www.educationaldatamining.org/EDM2016/proceedings/paper_18.pdf,conf/edm/LanB16,,424-429,A Contextual Bandits Framework for Personalized Learning Action Selection.,Conference and Workshop Papers,https://dblp.org/rec/conf/edm/LanB16,EDM,,2016
DBLP,579784,3,"Li Zhou, Emma Brunskill",,http://www.ijcai.org/Abstract/16/513,conf/ijcai/ZhouB16,,3646-3653,Latent Contextual Bandits and their Application to Personalized Recommendations for New Users.,Conference and Workshop Papers,https://dblp.org/rec/conf/ijcai/ZhouB16,IJCAI,,2016
DBLP,668239,3,"Li Zhou, Emma Brunskill",,http://arxiv.org/abs/1604.06743,journals/corr/ZhouB16,,,Latent Contextual Bandits and their Application to Personalized Recommendations for New Users.,Informal Publications,https://dblp.org/rec/journals/corr/ZhouB16,CoRR,abs/1604.06743,2016
DBLP,906176,3,"Liang Tang, Yexi Jiang, Lei Li 0001, Chunqiu Zeng, Tao Li 0001",10.1145/2766462.2767707,http://doi.acm.org/10.1145/2766462.2767707,conf/sigir/TangJLZL15,,323-332,Personalized Recommendation via Parameter-Free Contextual Bandits.,Conference and Workshop Papers,https://dblp.org/rec/conf/sigir/TangJLZL15,SIGIR,,2015
DBLP,1173426,3,"Liang Tang, Yexi Jiang, Lei Li 0001, Tao Li 0001",10.1145/2645710.2645732,http://doi.acm.org/10.1145/2645710.2645732,conf/recsys/TangJLL14,,73-80,Ensemble contextual bandits for personalized recommendation.,Conference and Workshop Papers,https://dblp.org/rec/conf/recsys/TangJLL14,RecSys,,2014
DBLP,2181260,3,"Lihong Li 0001, Wei Chu, John Langford 0001, Robert E. Schapire",10.1145/1772690.1772758,http://doi.acm.org/10.1145/1772690.1772758,conf/www/LiCLS10,,661-670,A contextual-bandit approach to personalized news article recommendation.,Conference and Workshop Papers,https://dblp.org/rec/conf/www/LiCLS10,WWW,,2010
DBLP,2189198,3,"Lihong Li 0001, Wei Chu, John Langford 0001, Robert E. Schapire",,http://arxiv.org/abs/1003.0146,journals/corr/abs-1003-0146,,,A Contextual-Bandit Approach to Personalized News Article Recommendation,Informal Publications,https://dblp.org/rec/journals/corr/abs-1003-0146,CoRR,abs/1003.0146,2010
DBLP,1385513,4,"Pei-hao Su, Yow-Bang Wang, Tien-han Yu, Lin-Shan Lee",10.1109/ICASSP.2013.6639266,https://doi.org/10.1109/ICASSP.2013.6639266,conf/icassp/SuWYL13,,8213-8217,A dialogue game framework with personalized training using reinforcement learning for computer-assisted language learning.,Conference and Workshop Papers,https://dblp.org/rec/conf/icassp/SuWYL13,ICASSP,,2013
DBLP,53863,3,"Kaixiang Mo, Yu Zhang, Shuangyin Li, Jiajun Li, Qiang Yang 0001",,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16104,conf/aaai/MoZLLY18,,,Personalizing a Dialogue System With Transfer Reinforcement Learning.,Conference and Workshop Papers,https://dblp.org/rec/conf/aaai/MoZLLY18,AAAI,,2018
DBLP,65161,3,"Mo Zhou, Yonatan Mintz, Yoshimi Fukuoka, Ken Goldberg, Elena Flowers, Philip Kaminsky, Alejandro Castillejo, Anil Aswani",,http://ceur-ws.org/Vol-2068/humanize7.pdf,conf/iui/ZhouMFGFKCA18,,,Personalizing Mobile Fitness Apps using Reinforcement Learning.,Conference and Workshop Papers,https://dblp.org/rec/conf/iui/ZhouMFGFKCA18,IUI Workshops,,2018
DBLP,68694,3,"Min Yang, Qiang Qu, Kai Lei, Jia Zhu, Zhou Zhao, Xiaojun Chen, Joshua Zhexue Huang",10.1137/1.9781611975321.71,https://doi.org/10.1137/1.9781611975321.71,conf/sdm/YangQLZZCH18,,630-638,Investigating Deep Reinforcement Learning Techniques in Personalized Dialogue Generation.,Conference and Workshop Papers,https://dblp.org/rec/conf/sdm/YangQLZZCH18,SDM,,2018
DBLP,79081,3,"Brenden K. Petersen, Jiachen Yang, Will S. Grathwohl, Chase Cockrell, Claudio Santiago, Gary An, Daniel M. Faissol",,http://arxiv.org/abs/1802.10440,journals/corr/abs-1802-10440,,,"Precision medicine as a control problem - Using simulation and deep reinforcement learning to discover adaptive, personalized multi-cytokine therapy for sepsis.",Informal Publications,https://dblp.org/rec/journals/corr/abs-1802-10440,CoRR,abs/1802.10440,2018
DBLP,79769,3,"Huan Yang, Baoyuan Wang, Noranart Vesdapunt, Minyi Guo, Sing Bing Kang",,http://arxiv.org/abs/1803.02269,journals/corr/abs-1803-02269,,,Personalized Attention-Aware Exposure Control Using Reinforcement Learning.,Informal Publications,https://dblp.org/rec/journals/corr/abs-1803-02269,CoRR,abs/1803.02269,2018
DBLP,83463,3,"Ali el Hassouni, Mark Hoogendoorn, Martijn van Otterlo, Eduardo Barbaro",,http://arxiv.org/abs/1804.03592,journals/corr/abs-1804-03592,,,Personalization of Health Interventions using Cluster-Based Reinforcement Learning.,Informal Publications,https://dblp.org/rec/journals/corr/abs-1804-03592,CoRR,abs/1804.03592,2018
