Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Smart Lifelong Learning System Based on Q-Learning,A. A. Kardan; O. R. B. Speily,"Adv. E-Learning Technol. Lab., AmirKabir Univ. of Technol., Tehran, Iran",2010 Seventh International Conference on Information Technology: New Generations,20100701,2010,,,1086,1091,"The majority of current web-based learning systems are closed learning environments where courses and learning materials are fixed and the only dynamic aspect is the organization of the material that can be adapted to allow a relatively individualized learning environment. In this paper, we propose an evolving web-based learning system which can adapt itself to its learners. More specifically, the novelty with respect to the system lies in its ability to find relevant content on the web, and its ability to personalize and adapt this content based on the system's observation of its learners and the accumulated ratings given by the learners. Hence, although learners do not have direct interaction with the open Web, the system can retrieve relevant information related to them and their situated learning characteristics. Lifelong learning scenarios have particular differences in their need for personalized recommendations that make not possible reusing existing general approaches of recommender systems. The paper describes those challenges and we propose a hybrid technique based on machine learning to recognize learner preferences and predict theirs required contents with high accuracy.",,Electronic:978-1-4244-6271-1; POD:978-1-4244-6270-4,10.1109/ITNG.2010.140,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5501486,Learning Promotion;Lifelong Learning;Machine Learning;Q Learning;Recommender Systems;Reinforcement Learning,Adaptive systems;Electronic learning;Information filtering;Information retrieval;Information technology;Learning systems;Least squares approximation;Machine learning;Multitasking;Recommender systems,Internet;computer aided instruction;continuing professional development;information filters;learning (artificial intelligence),Q-Learning;Web-based learning systems;learning materials;machine learning;personalized recommendations;recommender systems;smart lifelong learning system,,0,,12,,,,12-14 April 2010,,IEEE,IEEE Conferences
Analysis of re-sequencing buffer overflow probability based on stochastic delay characteristics,D. Zhou; H. Li; J. Li,"State Key Lab. of Integrated Service Networks, Xidian Univ., Xi'an, China","2013 IEEE 24th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)",20131125,2013,,,2490,2495,"With the development of multi-interface terminals, a host can connect to the Internet simultaneously by multiple access technologies. Under multi-access technology, a multi-path transmission can obtain high throughput, increased available bandwidth and enhanced reliability. However, the multi-path transmission with multi-access technology also has the problems that the packet re-ordering is unavoidable, and the fast retransmission is unnecessarily requested. Considering the stochastically varying transmission delay, the problems above may eventually result in a degradation of throughput. As a result, in this paper, we focus on the analysis of buffer overflow probability problem which is influenced by the transmission interval. First, we utilize Reinforcement Learning method to estimate the stochastic delay of end-to-end paths. Then, we discuss problems of re-sequencing buffer occupancy distribution and the overflow probability. In this paper, we model the stochastic delay as a continuous random variable, and then, discuss its mean value and variance. Simulation result shows that the re-sequencing buffer overflow probability is influenced by the transmission intervals and the variance of stochastic delay.",2166-9570;21669570,Electronic:978-1-4673-6235-1; POD:978-1-4673-6233-7; USB:978-1-4673-6234-4,10.1109/PIMRC.2013.6666565,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6666565,Concurrent Multi-path Transmission;Re-sequencing Buffer Overflow Probability;Reinforcement Learning,Buffer storage;Delays;Estimation;Learning (artificial intelligence);Mathematical model;Sequential analysis;Stochastic processes,Internet;delays;learning (artificial intelligence);probability;random processes;stochastic processes,Internet;continuous random variable;end-to-end paths;mean value;mean variance;multiinterface terminals;multipath transmission;multiple access technology;packet re-ordering;re-sequencing buffer occupancy distribution problem;reinforcement learning method;resequencing buffer overflow probability analysis;stochastic delay characteristics;stochastic varying transmission delay;transmission interval,,1,,20,,,,8-11 Sept. 2013,,IEEE,IEEE Conferences
Green Wi-Fi Implementation and Management in Dense Autonomous Environments for Smart Cities,Y. Zhang; C. Jiang; J. Wang; Z. Han; J. Yuan; J. Cao,"Department of Electrical Engineering, Tsinghua University, Beijing, China",IEEE Transactions on Industrial Informatics,20180404,2018,14,4,1552,1563,"Advanced informatics technologies facilitate the construction of green smart cities, especially the Wi-Fi implementation and management, for rapidly increasing personal Wi-Fi devices in autonomous environments residing in nonoverlapped channels often result in low energy efficiency and severe cochannel interference. In this paper, a green Wi-Fi management framework is constructed in order to reduce the overall energy consumption through turning off a portion of access points (APs) and aggregating their users to the other active APs. A Tabu-search-assisted active AP selection algorithm is proposed to minimize the power consumption with a seamless wireless converge. For the active APs, based on our defined metric airtime cost that is integrated by the in-range interference and the hidden terminal interference, a reinforcement-learning-aided AP self-management algorithm is proposed to dynamically adjust APs' channels in the partially overlapped channel space. Extensive simulations and field experiments demonstrate that the power consumption can be reduced by about 65%, and the airtime cost of APs can be reduced by 50% compared with the typical least congestion channel search algorithm.",1551-3203;15513203,,10.1109/TII.2017.2785820,National Basic Research Program of China; National Natural Science Foundation of China; US NSF; Young Elite Scientists Sponsorship; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8233146,Energy efficiency;green Wi-Fi;partially overlapped channels (POCs);self-management,Energy consumption;Green products;Informatics;Interference;Power demand;Wireless communication;Wireless fidelity,cochannel interference;computer network management;energy conservation;green computing;learning (artificial intelligence);power consumption;radiofrequency interference;search problems;smart cities;telecommunication power management;wireless LAN;wireless channels,AP self-management algorithm;Tabu-search-assisted active AP selection algorithm;access points;advanced informatics technologies;cochannel interference;defined metric airtime cost;dense autonomous environments;energy consumption reduction;green Wi-Fi management framework;green smart cities;hidden terminal interference;in-range interference;least congestion channel search algorithm;low energy efficiency;metric airtime cost;nonoverlapped channels;partially overlapped channel space;personal Wi-Fi devices;power consumption;reinforcement-learning-aided AP self-management algorithm,,,,,,,20171221,April 2018,,IEEE,IEEE Journals & Magazines
Smartphone Interruptibility Using Density-Weighted Uncertainty Sampling with Reinforcement Learning,R. Fisher; R. Simmons,"Machine Learning Dept., Carnegie Mellon Univ., Pittsburgh, PA, USA",2011 10th International Conference on Machine Learning and Applications and Workshops,20120209,2011,1,,436,441,"We present the In-Context application for smart-phones, which combines signal processing, active learning, and reinforcement learning to autonomously create a personalized model of interruptibility for incoming phone calls. We empirically evaluate the system, and show that we can obtain an average of 96.12% classification accuracy when predicting interruptibility after a week of training. In contrast to previous work, we leverage density-weighted uncertainty sampling combined with a reinforcement learning framework applied to passively collected data to achieve comparable or superior classification accuracy using many fewer queries issued to the user.",,Electronic:978-0-7695-4607-0; POD:978-1-4577-2134-2,10.1109/ICMLA.2011.128,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6147012,Active learning;interruptibility;mobile devices;reinforcement learning,Accuracy;Context;Data mining;Feature extraction;Support vector machines;Switches;Uncertainty,learning (artificial intelligence);smart phones,active learning;density weighted uncertainty sampling;reinforcement learning;signal processing;smartphone interruptibility,,4,,20,,,,18-21 Dec. 2011,,IEEE,IEEE Conferences
Table of contents,,,2014 IIAI 3rd International Conference on Advanced Applied Informatics,20141201,2014,,,v,xix,The following topics are dealt with: data mining; Japanese WordNet synonym misplacement detection; social network; recommender system; sentiment analysis; workshop-based instruction; Japanese public libraries; machine learning methods; collaborative Web presentation support system; SMS4 ultracompact hardware implementation; wireless sensor networks; personalized public transportation recommendation system; adaptive user interface; NIS-Apriori algorithm; GetRNIA software tool; rough set-based rule generation; tree-Ga bump hunting; neural network model; weighted citation network analysis; sound proofing ventilation unit; touch interaction; mutually dependent Markov decision processes; ozone treatment; dynamic query optimization; big data; learner activity recognition; IoT-security approach; nutrition-based vegetable production; farm product cultivation; polynomial time mat learning; C-deterministic regular formal graph system; article abstract key expression extraction; English text comprehension; online social games; knowledge creation; knowledge utilization; online stock trading; customer behavior analysis; project-based collaborative learning; in-field mobile game-based learning activities; e-portfolio system design; self-regulated learning ontological model; mobile augmented reality based scaffolding platform; context-aware mobile Japanese conversation learning system; English writing error classification; image processing; outside-class learning; exercise-centric teaching materials; UML modeling; online historical document reading literacy; MMORPG-based learning environment; computer courses; undergraduate education; energy management system; higher education; decentralised auction-based bandwidth allocation; wireless networked control systems; resource scheduling algorithm; embedded cloud computing; Poisson distribution; Japanese seismic activity; suspect vehicle detection; 3D network traffic visualization; Web information retrieval; agent based disaster evacua- ion assist system; electroencephalogram; random number generator; multiagent simulations; multicore environment; CPU scheduler; multithreaded processes; reserve-price biddings; real-time traffic signal control; evolutionary computation; robot-assisted rehabilitation system; hybrid automata; Batik motif classification; color-texture-based feature extraction; backpropagation; multimedia storytelling; e-tourism service; Web mining; search engine; simulation-based e-learning mobile application software; library classification training system; WebQuest learning strategy; context-aware ubiquitous English learning; support vector machine; RFID tag ownership transfer protocol; cognitive linguistics; collaborative software engineering learning; write-access reduction method; NVM-DRAM hybrid memory; garbage collection; parallel indexing scheme; lazy-updating snoop cache protocol; distributed storage system; ITS application; software engineering education; ophthalmic multimodal imaging system; injected bug classification; secure live virtual machine migration; flash memory management; genetic programming; heterogeneous databases; time series similarity search; concurrency control program generation; incremental data migration; multidatabase system; software release time decision making; analytic hierarchy process; interactive genetic algorithm; biometric intelligence; talking robots; archaeological ruin analysis; GIS; optical wireless pedestrian-support systems; visual impairment; extreme programming; Japanese e-commerce Web sites; Chinese sign language animation; hearing-impaired people mammography inspection; geographical maps; electroculogram; XML element retrieval technique; image recognition; reinforcement learning; ECU formal verification; gasoline direct injection engines; earthquake disaster simulation; smart devices for autistic children; RoboCup rescue simulation; inductive logic programming; master-slave asynchronous evolutionary hybrid algorithm; VANET routing opt,,CD-ROM:978-1-4799-4175-9; Electronic:978-1-4799-4173-5; POD:978-1-4799-1679-5,10.1109/IIAI-AAI.2014.4,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6913248,,,Big Data;DRAM chips;Internet of Things;Markov processes;Poisson distribution;Unified Modeling Language;XML;agriculture;analytic hierarchy process;archaeology;augmented reality;automata theory;backpropagation;bandwidth allocation;biometrics (access control);cache storage;citation analysis;cloud computing;computational complexity;computer animation;computer games;computer science education;concurrency control;consumer behaviour;data mining;data visualisation;distributed databases;educational courses;electro-oculography;electroencephalography;electronic commerce;emergency management;energy management systems;engines;feature extraction;flash memories;formal verification;further education;genetic algorithms;geographic information systems;groupware;handicapped aids;human computer interaction;humanoid robots;image classification;image colour analysis;image texture;inductive logic programming;intelligent tutoring systems;investment;library automation;linguistics;mammography;medical robotics;mobile computing;multi-agent systems;multi-threading;multimedia computing;multiprocessing systems;natural language processing;networked control systems;neural nets;object detection;ozonation (materials processing);patient rehabilitation;pedestrians;processor scheduling;public transport;query processing;random number generation;recommender systems;rescue robots;resource allocation;rough set theory;search engines;security of data;seismology;social networking (online);software prototyping;software tools;stock markets;storage management;support vector machines;teaching;telecommunication network routing;text analysis;time series;traffic control;traffic engineering computing;travel industry;trees (mathematics);unsupervised learning;user interfaces;vehicular ad hoc networks;ventilation;virtual machines;wireless sensor networks,3D network traffic visualization;Batik motif classification;C-deterministic regular formal graph system;CPU scheduler;Chinese sign language animation;ECU formal verification;English text comprehension;English writing error classification;GIS;GetRNIA software tool;ITS application;IoT-security approach;Japanese WordNet synonym misplacement detection;Japanese e-commerce Web sites;Japanese public libraries;Japanese seismic activity;MMORPG-based learning environment;NIS-Apriori algorithm;NVM-DRAM hybrid memory;Poisson distribution;RFID tag ownership transfer protocol;RoboCup rescue simulation;SMS4 ultracompact hardware implementation;UML modeling;VANET routing optimization;Web image sharing services;Web information retrieval;Web mining;WebQuest learning strategy;XML element retrieval technique;adaptive user interface;agent based disaster evacuation assist system;analytic hierarchy process;archaeological ruin analysis;article abstract key expression extraction;autistic children;backpropagation;big data;biometric intelligence;cognitive linguistics;collaborative Web presentation support system;collaborative software engineering learning;color-texture-based feature extraction;computer courses;concurrency control program generation;context-aware mobile Japanese conversation learning system;context-aware ubiquitous English learning;customer behavior analysis;data mining;decentralised auction-based bandwidth allocation;distributed storage system;dynamic query optimization;e-portfolio system design;e-tourism service;earthquake disaster simulation;electroencephalogram;electrooculogram;embedded cloud computing;energy management system;evolutionary computation;exercise-centric teaching materials;extreme programming;farm product cultivation;flash memory management;garbage collection;gasoline direct injection engines;genetic programming;geographical maps;hearing-impaired people mammography inspection;heterogeneous databases;higher education;hybrid automata;image processing;image recognition;in-field mobile game-based learning activities;incremental data migration;inductive logic programming;injected bug classification;interactive genetic algorithm;knowledge creation;knowledge utilization;lazy-updating snoop cache protocol;learner activity recognition;library classification training system;machine learning methods;master-slave asynchronous evolutionary hybrid algorithm;mobile augmented reality based scaffolding platform;multiagent simulations;multicore environment;multidatabase system;multimedia storytelling;multithreaded processes;mutually dependent Markov decision processes;neural network model;nutrition-based vegetable production;online historical document reading literacy;online social games;online stock trading;ophthalmic multimodal imaging system;optical wireless pedestrian-support systems;outside-class learning;ozone treatment;parallel indexing scheme;personalized public transportation recommendation system;polynomial time mat learning;project-based collaborative learning;random number generator;real-time traffic signal control;recommender system;reinforcement learning;reserve-price biddings;resource scheduling algorithm;robot-assisted rehabilitation system;rough set-based rule generation;search engine;secure live virtual machine migration;self-regulated learning ontological model;sentiment analysis;simulation-based e-learning mobile application software;social network;software engineering education;software release time decision making;sound proofing ventilation unit;support vector machine;suspect vehicle detection;talking robots;time series similarity search;touch interaction;tree-Ga bump hunting;undergraduate education;visual impairment;weighted citation network analysis;wireless networked control systems;wireless sensor networks;workshop-based instruction;write-access reduction method,,0,,,,,,Aug. 31 2014-Sept. 4 2014,,IEEE,IEEE Conferences
Dynamic thermal management for multimedia applications using machine learning,Y. Ge; Q. Qiu,"Department of Electrical and Computer Engineering, Binghamton University, USA",2011 48th ACM/EDAC/IEEE Design Automation Conference (DAC),20110811,2011,,,95,100,"Multimedia applications are expected to form the largest portion of workload in general purpose PC and portable devices. The ever-increasing computation intensity of multimedia applications elevates the processor temperature and consequently impairs the reliability and performance of the system. In this paper, we propose to perform dynamic thermal management using reinforcement learning algorithm for multimedia applications. The proposed learning model does not need any prior knowledge of the workload information or the system thermal and power characteristics. It learns the temperature change and workload switching patterns by observing the temperature sensor and event counters on the processor, and finds the management policy that provides good performance-thermal tradeoff during the runtime. We validated our model on a Dell personal computer with Intel Core 2 processor. Experimental results show that our approach provides considerable performance improvements with marginal increase in the percentage of thermal hotspot comparing to existing workload phase detection approach.",0738-100x;0738100x,DVD:978-1-4503-0636-2; Electronic:978-1-4503-0636-2; POD:978-1-4503-0636-2,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5981924,Dynamic thermal management;multimedia application;reinforcement learning,Decoding;Heuristic algorithms;Learning;Multimedia communication;Radiation detectors;Temperature sensors;Thermal management,learning (artificial intelligence);multimedia computing;thermal management (packaging),Dell personal computer;Intel Core 2 processor;dynamic thermal management;machine learning;multimedia applications;reinforcement learning algorithm;workload phase detection approach,,2,,17,,,,5-9 June 2011,,IEEE,IEEE Conferences
Learn to Coordinate with Generic Non-Stationary Opponents,Z. Kaifu,"Department of Computer Science and Technology, Tsinghua University, Beijing 100084, China, zkf03@mails.tsinghua.edu.cn",2006 5th IEEE International Conference on Cognitive Informatics,20070910,2006,1,,558,565,"Learning to coordinate with non-stationary opponents is a major challenge for adaptive agents. Most previous research investigated only restricted classes of such dynamic opponents. The main contribution of this paper is twofold: (i) A class of generic non-stationary opponents is introduced. The opponents keep mixed strategies which change with less regularity. Its showed that the independent reinforcement learners (ILs), which have neither prior knowledge nor opponent models, cannot coordinate well with this type of opponent, (ii) A new exploration strategy, the DAE (detect and explore) mechanism, is tailored for the ILs in such coordination tasks. This mechanism allows the ILs dynamically detect changes in the opponents behavior and adjust their learning rate and exploration temperature. It's showed that ILs using this strategy are still able to converge in self-play and are able to coordinate well with the non-stationary opponents",,POD:1-4244-0475-4,10.1109/COGINF.2006.365546,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4216463,Coordination game;Exploration strategy;Non-stationary opponent;Reinforcement learning,Cognitive informatics;Computer science;Decision making;Game theory;Learning;Multiagent systems;Temperature;Testing,learning (artificial intelligence);multi-agent systems,adaptive agents;detect and explore mechanism;dynamic opponents;exploration strategy;generic nonstationary opponents;independent reinforcement learner,,1,,16,,,,17-19 July 2006,,IEEE,IEEE Conferences
Evolution of context-aware user profiles,J. Thomsen; Y. Vanrompay; Y. Berbers,"Condat AG, Berlin, Germany",2009 International Conference on Ultra Modern Telecommunications & Workshops,20091204,2009,,,1,6,"Context-awareness and adaptation are key issues in mobile and ubiquitous computing. Applications on mobile devices use context information to adapt themselves to changing environments. User profiles play an important role in these systems as they serve as an individualization filter in a wide range of possible context adaptation parameters. In this paper we propose a modeling approach for the evolution of context-aware user profiles. A motivating scenario, the intelligent selection of a suitable medical expert in an emergency situation, shows the need for context-aware matching of user profiles. This is achieved by a similarity matching algorithm and reinforcement learning.",2157-0221;21570221,POD:978-1-4244-3942-3,10.1109/ICUMT.2009.5345395,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5345395,,Application software;Computer science;Context modeling;Filters;Intelligent networks;Mobile computing;Multiple signal classification;Personal digital assistants;Runtime;Ubiquitous computing,learning (artificial intelligence);medical computing;mobile computing,adaptation;context-aware user profiles;context-awareness;medical expert;mobile computing;reinforcement learning;similarity matching algorithm;ubiquitous computing,,1,,21,,,,12-14 Oct. 2009,,IEEE,IEEE Conferences
"Stochastic Optimal Relaxed Automatic Generation Control in Non-Markov Environment Based on Multi-Step <formula formulatype=""inline""> <tex Notation=""TeX"">$Q(lambda)$</tex></formula> Learning",T. Yu; B. Zhou; K. W. Chan; L. Chen; B. Yang,"College of Electric Power, South China University of Technology, Guangzhou, China",IEEE Transactions on Power Systems,20110721,2011,26,3,1272,1282,"This paper proposes a stochastic optimal relaxed control methodology based on reinforcement learning (RL) for solving the automatic generation control (AGC) under NERC's control performance standards (CPS). The multi-step <i>Q</i>(λ) learning algorithm is introduced to effectively tackle the long time-delay control loop for AGC thermal plants in non-Markov environment. The moving averages of CPS1/ACE are adopted as the state feedback input, and the CPS control and relaxed control objectives are formulated as multi-criteria reward function via linear weighted aggregate method. This optimal AGC strategy provides a customized platform for interactive self-learning rules to maximize the long-run discounted reward. Statistical experiments show that the RL theory based <i>Q</i>(λ) controllers can effectively enhance the robustness and dynamic performance of AGC systems, and reduce the number of pulses and pulse reversals while the CPS compliances are ensured. The novel AGC scheme also provides a convenient way of controlling the degree of CPS compliance and relaxation by online tuning relaxation factors to implement the desirable relaxed control.",0885-8950;08858950,,10.1109/TPWRS.2010.2102372,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5706397,"AGC;CPS;multi-step <formula formulatype=""inline""><tex Notation=""TeX"">$Q(lambda)$</tex> </formula> learning;non-Markov environment;relaxed control;stochastic optimization",Aerospace electronics;Frequency control;Markov processes;Power grids;Power system dynamics;Standards,delays;learning (artificial intelligence);optimal control;power generation control;power system stability;robust control;state feedback;statistical analysis;stochastic processes;thermal power stations,AGC thermal plant;CPS compliance;CPS control;NERC control performance standard;RL theory based controller;interactive self learning rule;linear weighted aggregate method;long run discounted reward;multicriteria reward function;multistep Q(λ) learning algorithm;nonMarkov environment;online tuning relaxation factors;optimal AGC strategy;pulse reversal;reinforcement learning;state feedback input;statistical experiment;stochastic optimal relaxed automatic generation control;time delay control loop,,28,,31,,,20110204,Aug. 2011,,IEEE,IEEE Journals & Magazines
An experimental approach to robotic grasping using a connectionist architecture and generic grasping functions,M. A. Moussa; M. S. Kamel,"Dept. of Syst. Design Eng., Waterloo Univ., Ont., Canada","IEEE Transactions on Systems, Man, and Cybernetics, Part C (Applications and Reviews)",20020806,1998,28,2,239,253,"An experimental approach to robotic grasping is presented. This approach is based on developing a generic representation of grasping rules, which allows learning them from experiments between the object and the robot. A modular connectionist design arranged in subsumption layers is used to provide a mapping between sensory inputs and robot actions. Reinforcement feedback is used to select between different grasping rules and to reduce the number of failed experiments. This is particularly critical for applications in the personal service robot environment. Simulated experiments on a 15-object database show that the system is capable of learning grasping rules for each object in a finite number of experiments as well as generalizing from experiments on one object to grasping from another",1094-6977;10946977,,10.1109/5326.669561,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=669561,,Databases;Grasping;Grippers;Humans;Intelligent robots;Manipulators;Performance evaluation;Robot sensing systems;Service robots;System testing,feedback;learning systems;manipulators;neural nets,connectionist architecture;generic grasping functions;generic grasping rule representation;learning;modular connectionist design;object database;personal service robot environment;reinforcement feedback;robot actions;robotic grasping;sensory inputs;simulated experiments;subsumption layers,,17,,26,,,,May 1998,,IEEE,IEEE Journals & Magazines
