database,Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
SCOPUS,"Pendharkar P.C., Cusatis P.",Trading financial indices with reinforcement learning agents,2018,Expert Systems with Applications,103,,,1,13,,,10.1016/j.eswa.2018.02.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043385087&doi=10.1016%2fj.eswa.2018.02.032&partnerID=40&md5=2fd6c8ceb9934f691c18f8f4a04b1f8f,"School of Business Administration, Pennsylvania State University at Harrisburg, Middletown, 777 West Harrisburg PikePA, United States","Pendharkar, P.C., School of Business Administration, Pennsylvania State University at Harrisburg, Middletown, 777 West Harrisburg PikePA, United States; Cusatis, P., School of Business Administration, Pennsylvania State University at Harrisburg, Middletown, 777 West Harrisburg PikePA, United States","Intelligent agents are often used in professional portfolio management. The use of intelligent agents in personal retirement portfolio management is not investigated in the past. In this research, we consider a two-asset personal retirement portfolio and propose several reinforcement learning agents for trading portfolio assets. In particular, we design an on-policy SARSA (λ) and an off-policy Q(λ) discrete state and discrete action agents that maximize either portfolio returns or differential Sharpe ratios. Additionally, we design a temporal-difference learning, TD(λ), agent that uses a linear valuation function in discrete state and continuous action settings. Using two different two-asset portfolios, the first asset being the S&P 500 Index and the second asset being either a broad bond market index or a 10-year U.S. Treasury note (T-note), we test the performance of different agents on different holdout (test) samples. The results of our experiments indicate that the high-learning frequency (i.e., adaptive learning) TD(λ) agent consistently beats both the single asset stock and bond cumulative returns by a significant margin. © 2018 Elsevier Ltd",Markov decision process; Multi-agent systems; Portfolio management; Reinforcement learning,Article,,Scopus,2-s2.0-85043385087
SCOPUS,"Yang M., Tu W., Qu Q., Zhao Z., Chen X., Zhu J.",Personalized response generation by Dual-learning based domain adaptation,2018,Neural Networks,103,,,72,82,,,10.1016/j.neunet.2018.03.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045705590&doi=10.1016%2fj.neunet.2018.03.009&partnerID=40&md5=62c0e7468a872e17eeb031613314833a,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; School of Information Management and Engineering, Shanghai University of Finance and Economics, Shanghai, China; School of Computing Science, Zhejiang University, Hangzhou, China; College of Computer Science and Software, Shenzhen University, Shenzhen, China; School of Computer Science, South China Normal University, Guangzhou, China","Yang, M., Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Tu, W., School of Information Management and Engineering, Shanghai University of Finance and Economics, Shanghai, China; Qu, Q., Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Zhao, Z., School of Computing Science, Zhejiang University, Hangzhou, China; Chen, X., College of Computer Science and Software, Shenzhen University, Shenzhen, China; Zhu, J., School of Computer Science, South China Normal University, Guangzhou, China","Open-domain conversation is one of the most challenging artificial intelligence problems, which involves language understanding, reasoning, and the utilization of common sense knowledge. The goal of this paper is to further improve the response generation, using personalization criteria. We propose a novel method called PRGDDA (Personalized Response Generation by Dual-learning based Domain Adaptation) which is a personalized response generation model based on theories of domain adaptation and dual learning. During the training procedure, PRGDDA first learns the human responding style from large general data (without user-specific information), and then fine-tunes the model on a small size of personalized data to generate personalized conversations with a dual learning mechanism. We conduct experiments to verify the effectiveness of the proposed model on two real-world datasets in both English and Chinese. Experimental results show that our model can generate better personalized responses for different users. © 2018 Elsevier Ltd",Deep reinforcement learning; Domain adaptation; Dual learning; Personalized response generation,Article,,Scopus,2-s2.0-85045705590
SCOPUS,"Kim Y.K., Ullah S., Kwon K., Jang Y., Lee J., Hong C.S.",Reinforcement learning based data self-destruction scheme for secured data management,2018,Symmetry,10,5,136,,,,,10.3390/sym10050136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047266273&doi=10.3390%2fsym10050136&partnerID=40&md5=a2c437f3cefa1531010a989debbacb75,"Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, South Korea; Databank Systems, Daegu, South Korea","Kim, Y.K., Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, South Korea; Ullah, S., Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, South Korea; Kwon, K., Databank Systems, Daegu, South Korea; Jang, Y., Databank Systems, Daegu, South Korea; Lee, J., Databank Systems, Daegu, South Korea; Hong, C.S., Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, South Korea","As technologies and services that leverage cloud computing have evolved, the number of businesses and individuals who use them are increasing rapidly. In the course of using cloud services, as users store and use data that include personal information, research on privacy protection models to protect sensitive information in the cloud environment is becoming more important. As a solution to this problem, a self-destructing scheme has been proposed that prevents the decryption of encrypted user data after a certain period of time using a Distributed Hash Table (DHT) network. However, the existing self-destructing scheme does not mention how to set the number of key shares and the threshold value considering the environment of the dynamic DHT network. This paper proposes a method to set the parameters to generate the key shares needed for the self-destructing scheme considering the availability and security of data. The proposed method defines state, action, and reward of the reinforcement learning model based on the similarity of the graph, and applies the self-destructing scheme process by updating the parameter based on the reinforcement learning model. Through the proposed technique, key sharing parameters can be set in consideration of data availability and security in dynamic DHT network environments. © 2018 by the authors.",DHT network; Privacy protection; Reinforcement learning; Self-destructing scheme,Article,,Scopus,2-s2.0-85047266273
SCOPUS,"Rivas-Blanco I., López-Casado C., Pérez-Del-Pulgar C.J., García-Vacas F., Fraile J.C., Muñoz V.F.",Smart Cable-Driven Camera Robotic Assistant,2018,IEEE Transactions on Human-Machine Systems,48,2,,183,196,,,10.1109/THMS.2017.2767286,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044112146&doi=10.1109%2fTHMS.2017.2767286&partnerID=40&md5=85a18779eea5386bbb2f7ed0bd559205,"Department of System Engineering and Automation, University of Malaga, Andalucía Tech, Málaga, Spain; Department of Mechanical Engineering and Fluid Mechanics, University of Malaga, Andalucía Tech, Málaga, Spain; Department of System Engineering and Automation, University of Valladolid, Valladolid, Spain","Rivas-Blanco, I., Department of System Engineering and Automation, University of Malaga, Andalucía Tech, Málaga, Spain; López-Casado, C., Department of System Engineering and Automation, University of Malaga, Andalucía Tech, Málaga, Spain; Pérez-Del-Pulgar, C.J., Department of System Engineering and Automation, University of Malaga, Andalucía Tech, Málaga, Spain; García-Vacas, F., Department of Mechanical Engineering and Fluid Mechanics, University of Malaga, Andalucía Tech, Málaga, Spain; Fraile, J.C., Department of System Engineering and Automation, University of Valladolid, Valladolid, Spain; Muñoz, V.F., Department of System Engineering and Automation, University of Malaga, Andalucía Tech, Málaga, Spain","This paper describes the mechanical design and a cognition system for a novel concept-of-camera robotic assistant. The system combines the advantages of intra-abdominal devices and autonomous camera navigation. The robotic assistant is composed of a magnetic intra-abdominal camera robot with two internal cable-driven degrees of freedom and an external robot that handles an external magnet. The intelligence of the robot is implemented in a cognitive architecture based on a long-term memory that stores the robot's knowledge and learning capabilities to improve the robot's behavior. The navigation strategy combines a reactive control based on instrument tracking and a proactive control based on predefined behaviors, depending on the actual state of the task. The robot's learning capabilities include a semantic customization, to adapt the camera's behavior to the surgeon's preferences, and reinforcement learning, to improve the camera navigation strategy. This paper details both the hardware implementation of the system and the software implementation in a robotic operating system architecture. The cognition system and the performance of the cable-driven mechanism have been validated with a set of in vitro experiments. Moreover, the camera robot has been evaluated through an in-vivo experiment in a pig. © 2017 IEEE.",Cognitive robotics; mechatronics; medical robotics; robot control; robot motion,Article,,Scopus,2-s2.0-85044112146
SCOPUS,"Zhang Y., Jiang C., Wang J., Han Z., Yuan J., Cao J.",Green Wi-Fi Implementation and Management in Dense Autonomous Environments for Smart Cities,2018,IEEE Transactions on Industrial Informatics,14,4,,1552,1563,,,10.1109/TII.2017.2785820,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039799466&doi=10.1109%2fTII.2017.2785820&partnerID=40&md5=a3e91952410df5430ce58cda71d81e74,"Department of Electrical Engineering, Tsinghua University, Beijing, China; Tsinghua Space Center, Tsinghua University, Beijing, China; University of Houston, Houston, TX, United States; Department of Computer Science and Engineering, Kyung Hee University, Seoul, South Korea; Department of Computing, Hong Kong Polytechnic University, Hung Hom, Hong Kong","Zhang, Y., Department of Electrical Engineering, Tsinghua University, Beijing, China; Jiang, C., Tsinghua Space Center, Tsinghua University, Beijing, China; Wang, J., Department of Electrical Engineering, Tsinghua University, Beijing, China; Han, Z., University of Houston, Houston, TX, United States, Department of Computer Science and Engineering, Kyung Hee University, Seoul, South Korea; Yuan, J., Department of Electrical Engineering, Tsinghua University, Beijing, China; Cao, J., Department of Computing, Hong Kong Polytechnic University, Hung Hom, Hong Kong","Advanced informatics technologies facilitate the construction of green smart cities, especially the Wi-Fi implementation and management, for rapidly increasing personal Wi-Fi devices in autonomous environments residing in nonoverlapped channels often result in low energy efficiency and severe cochannel interference. In this paper, a green Wi-Fi management framework is constructed in order to reduce the overall energy consumption through turning off a portion of access points (APs) and aggregating their users to the other active APs. A Tabu-search-assisted active AP selection algorithm is proposed to minimize the power consumption with a seamless wireless converge. For the active APs, based on our defined metric airtime cost that is integrated by the in-range interference and the hidden terminal interference, a reinforcement-learning-aided AP self-management algorithm is proposed to dynamically adjust APs' channels in the partially overlapped channel space. Extensive simulations and field experiments demonstrate that the power consumption can be reduced by about 65%, and the airtime cost of APs can be reduced by 50% compared with the typical least congestion channel search algorithm. © 2005-2012 IEEE.",Energy efficiency; green Wi-Fi; partially overlapped channels (POCs); self-management,Article,,Scopus,2-s2.0-85039799466
SCOPUS,"Shah A., Ganesan R., Jajodia S., Cam H.",Dynamic optimization of the level of operational effectiveness of a CSOC under adverse conditions,2018,ACM Transactions on Intelligent Systems and Technology,9,5,51,,,,,10.1145/3173457,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047116204&doi=10.1145%2f3173457&partnerID=40&md5=a83cea6dd84e9af765943a9f8f535d02,"Center for Secure Information Systems, George Mason University, 4400 University Dr., Fairfax, VA, United States; Army Research Laboratory, 2800 Powder Mill Road, Adelphi, MD, United States","Shah, A., Center for Secure Information Systems, George Mason University, 4400 University Dr., Fairfax, VA, United States; Ganesan, R., Center for Secure Information Systems, George Mason University, 4400 University Dr., Fairfax, VA, United States; Jajodia, S., Center for Secure Information Systems, George Mason University, 4400 University Dr., Fairfax, VA, United States; Cam, H., Army Research Laboratory, 2800 Powder Mill Road, Adelphi, MD, United States","The analysts at a cybersecurity operations center (CSOC) analyze the alerts that are generated by intrusion detection systems (IDSs). Under normal operating conditions, sufficient numbers of analysts are available to analyze the alert workload. For the purpose of this article, this means that the cybersecurity analysts in each shift can fully investigate each and every alert that is generated by the IDSs in a reasonable amount of time and perform their normal tasks in a shift. Normal tasks include analysis time, time to attend training programs, report writing time, personal break time, and time to update the signatures on new patterns in alerts as detected by the IDS. There are several disruptive factors that occur randomly and can adversely impact the normal operating condition of a CSOC, such as (1) higher alert generation rates from a few IDSs, (2) new alert patterns that decrease the throughput of the alert analysis process, and (3) analyst absenteeism. The impact of the preceding factors is that the alerts wait for a long duration before being analyzed, which impacts the level of operational effectiveness (LOE) of the CSOC. To return the CSOC to normal operating conditions, the manager of a CSOC can take several actions, such as increasing the alert analysis time spent by analysts in a shift by canceling a training program, spending some of his own time to assist the analysts in alert investigation, and calling upon the on-call analyst workforce to boost the service rate of alerts. However, additional resources are limited in quantity over a 14-day work cycle, and the CSOC manager must determine when and how much action to take in the face of uncertainty, which arises from both the intensity and the random occurrences of the disruptive factors. The preceding decision by the CSOC manager is nontrivial and is often made in an ad hoc manner using prior experiences. This work develops a reinforcement learning (RL) model for optimizing the LOE throughout the entire 14-day work cycle of a CSOC in the face of uncertainties due to disruptive events. Results indicate that the RL model is able to assist the CSOCmanager with a decision support tool to make better decisions than current practices in determining when and how much resource to allocate when the LOE of a CSOC deviates from the normal operating condition. © 2018 ACM.",Absenteeism in shift; Allocate resources; Analysts; Average time to analyze alerts; Cybersecurity; Level of operational effectiveness; Oncall analysts; Reinforcement learning; Resource allocation; Stochastic optimization,Article,,Scopus,2-s2.0-85047116204
SCOPUS,"Wu C., Parvate K., Kheterpal N., DIckstein L., Mehta A., Vinitsky E., Bayen A.M.",Framework for control and deep reinforcement learning in traffic,2018,"IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC",2018-March,,,1,8,,,10.1109/ITSC.2017.8317694,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046287181&doi=10.1109%2fITSC.2017.8317694&partnerID=40&md5=c7af52c1314b6153d8d33d15e9c7f463,"UC Berkeley, Electrical Engineering and Computer Science, United States; UCLA, Electrical Engineering, United States; UC Berkeley, Mechanical Engineering, United States; UC Berkeley, Institute for Transportation Studies, United States","Wu, C., UC Berkeley, Electrical Engineering and Computer Science, United States; Parvate, K., UC Berkeley, Electrical Engineering and Computer Science, United States; Kheterpal, N., UC Berkeley, Electrical Engineering and Computer Science, United States; DIckstein, L., UC Berkeley, Electrical Engineering and Computer Science, United States; Mehta, A., UCLA, Electrical Engineering, United States; Vinitsky, E., UC Berkeley, Mechanical Engineering, United States; Bayen, A.M., UC Berkeley, Electrical Engineering and Computer Science, United States, UC Berkeley, Institute for Transportation Studies, United States","Recent advances in deep reinforcement learning (RL) offer an opportunity to revisit complex traffic control problems at the level of vehicle dynamics, with the aim of learning locally optimal policies (with respect to the policy parameterization) for a variety of objectives such as matching a target velocity or minimizing fuel consumption. In this article, we present a framework called CISTAR (Customized Interface for SUMO, TraCI, and RLLab) that integrates the widely used traffic simulator SUMO with a standard deep reinforcement learning library RLLab. We create an interface allowing for easy customization of SUMO, allowing users to easily implement new controllers, heterogeneous experiments, and user-defined cost functions that depend on arbitrary state variables. We demonstrate the usage of CISTAR with several benchmark control and RL examples. © 2017 IEEE.",control; deep reinforcement learning; Simulation; vehicle dynamics,Conference Paper,,Scopus,2-s2.0-85046287181
SCOPUS,"Amravati A., Nasir S.B., Thangadurai S., Yoon I., Raychowdhury A.",A 55nm time-domain mixed-signal neuromorphic accelerator with stochastic synapses and embedded reinforcement learning for autonomous micro-robots,2018,Digest of Technical Papers - IEEE International Solid-State Circuits Conference,61,,,124,126,,1,10.1109/ISSCC.2018.8310215,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046496872&doi=10.1109%2fISSCC.2018.8310215&partnerID=40&md5=795df12235486a5aed039de4d8fe60f8,"Georgia Institute of Technology, Atlanta, GA, United States","Amravati, A., Georgia Institute of Technology, Atlanta, GA, United States; Nasir, S.B., Georgia Institute of Technology, Atlanta, GA, United States; Thangadurai, S., Georgia Institute of Technology, Atlanta, GA, United States; Yoon, I., Georgia Institute of Technology, Atlanta, GA, United States; Raychowdhury, A., Georgia Institute of Technology, Atlanta, GA, United States","Even as rapid advances are being made in the areas of deep neural networks (DNNs) and convolutional neural networks (CNNs) with most hardware demonstrations geared towards inference in vision-based platforms [1-5], we recognize that true autonomy in intelligent agents will only emerge when such bio-mimetic systems can perform continuous learning through interactions with the environment. Reinforcement learning (RL) presents one such computational paradigm inspired by behaviorist psychology, where autonomous agents take actions in an environment to maximize a notion of cumulative reward. This concept is deeply rooted in the human brain where dopamine mediated neurotransmitters (in the cortex, striatum and thalamus of the brain) have been shown to encourage reward-motivated behavior in all our social interactions (Fig. 7.4.1). In this paper, we present a 690μW (VCC=1.2V) neuromorphic accelerator fabricated in 55nm CMOS, which: (1) inherits unique properties of stochastic neural networks, (2) leverages recent advances in Q-learning as an implementation of RL, and (3) demonstrates energy-efficient time-domain mixed-signal (TD-MS) circuit architectures, to provide autonomy to a mobile, self-driving micro-robot at the edge of the cloud, with possible applications in disaster relief, reconnaissance and personal robotics. © 2018 IEEE.",,Conference Paper,,Scopus,2-s2.0-85046496872
SCOPUS,"Hemminghaus J., Kopp S.",Adaptive Behavior Generation for Child-Robot Interaction,2018,ACM/IEEE International Conference on Human-Robot Interaction,,,,295,296,,,10.1145/3173386.3176916,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045246276&doi=10.1145%2f3173386.3176916&partnerID=40&md5=5d60132774050efaff259e83b239d95d,"CITEC, Bielefeld University, Bielefeld, Germany","Hemminghaus, J., CITEC, Bielefeld University, Bielefeld, Germany; Kopp, S., CITEC, Bielefeld University, Bielefeld, Germany","Social robots are increasingly applied in assistive settings where they interact with human users to support them in their daily life. There, abilities for a robust and reliable social interaction are required, especially for robots that interact autonomously with humans. Apart from challenges regarding safety and trust, the complexity and difficulty of attaining mutual understanding, engagement or assistance in social interactions that comprise spoken languages and non-verbal behaviors need to be taken into account. In addition, different users or user groups have inter-individual differences with respect to their personal preferences, skills and limitations. This makes it more difficult to develop reliable and understandable robots that work well in different situations or for different users. © 2018 Authors.",Assistive Robotics; Child-Robot-Interaction; Multimodal Social Behavior; Reinforcement Learning,Conference Paper,,Scopus,2-s2.0-85045246276
SCOPUS,"Ciasullo M.V., Fenza G., Loia V., Orciuoli F., Troisi O., Herrera-Viedma E.",Business process outsourcing enhanced by fuzzy linguistic consensus model,2018,Applied Soft Computing Journal,64,,,436,444,,,10.1016/j.asoc.2017.12.020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039847146&doi=10.1016%2fj.asoc.2017.12.020&partnerID=40&md5=978d181b7df8a4116a9a4b237f0e7148,"Dipartimento di Scienze Aziendali – Management & Innovation Systems, University of Salerno, Fisciano (SA), Italy; Department of Computer Science and Artificial Intelligence, University of Granada, Granada, Spain; Department of Electrical and Computer Engineering, Faculty of Engineering, King Abdulaziz University, Jeddah, Saudi Arabia","Ciasullo, M.V., Dipartimento di Scienze Aziendali – Management & Innovation Systems, University of Salerno, Fisciano (SA), Italy; Fenza, G., Dipartimento di Scienze Aziendali – Management & Innovation Systems, University of Salerno, Fisciano (SA), Italy; Loia, V., Dipartimento di Scienze Aziendali – Management & Innovation Systems, University of Salerno, Fisciano (SA), Italy; Orciuoli, F., Dipartimento di Scienze Aziendali – Management & Innovation Systems, University of Salerno, Fisciano (SA), Italy; Troisi, O., Dipartimento di Scienze Aziendali – Management & Innovation Systems, University of Salerno, Fisciano (SA), Italy; Herrera-Viedma, E., Department of Computer Science and Artificial Intelligence, University of Granada, Granada, Spain, Department of Electrical and Computer Engineering, Faculty of Engineering, King Abdulaziz University, Jeddah, Saudi Arabia","Business process outsourcing represents a strategic option to obtain the overall improvement of performance in business process management context. It consists in externalizing whole sub-processes (e.g., production, logistics, human resources) of a value chain. Last decade, the concept of value chain moved toward the more flexible concept of value net that implies the assembly of several value chains tailored to specifics, objectives, markets, etc. Thus, the composition of a value chain within a value net environments can be understood as the modeling of a macro business process in which sub-processes can be outsourced. Such composition activity foresees crucial decision-making moments that need to be sustained by a group of decision-makers owning several and heterogeneous competences in order to select the most suitable external providers to which delegate specific sub-processes. This work proposes a framework to enhance business process outsourcing by introducing group decision-making support that relies on a fuzzy linguistic consensus model. In addition, the framework implements algorithms to learn and assign different weights to decision-makers considering the context and time at which they participate in the group decision making. The framework is applied to an Italian footwear company by describing a numerical example. © 2017 Elsevier B.V.",Business processes outsourcing; Context awareness; Fuzzy linguistic consensus model; Reinforcement learning; Value net,Article,,Scopus,2-s2.0-85039847146
