"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Personalized tuning of a reinforcement learning control algorithm for glucose regulation","E. Daskalaki; P. Diem; S. G. Mougiakakou","Diabetes Technology Research Group, ARTORG Center for Biomedical Engineering Research, University of Bern, 3010, Switzerland","2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20130926","2013","","","3487","3490","Artificial pancreas is in the forefront of research towards the automatic insulin infusion for patients with type 1 diabetes. Due to the high inter- and intra-variability of the diabetic population, the need for personalized approaches has been raised. This study presents an adaptive, patient-specific control strategy for glucose regulation based on reinforcement learning and more specifically on the Actor-Critic (AC) learning approach. The control algorithm provides daily updates of the basal rate and insulin-to-carbohydrate (IC) ratio in order to optimize glucose regulation. A method for the automatic and personalized initialization of the control algorithm is designed based on the estimation of the transfer entropy (TE) between insulin and glucose signals. The algorithm has been evaluated in silico in adults, adolescents and children for 10 days. Three scenarios of initialization to i) zero values, ii) random values and iii) TE-based values have been comparatively assessed. The results have shown that when the TE-based initialization is used, the algorithm achieves faster learning with 98%, 90% and 73% in the A+B zones of the Control Variability Grid Analysis for adults, adolescents and children respectively after five days compared to 95%, 78%, 41% for random initialization and 93%, 88%, 41% for zero initial values. Furthermore, in the case of children, the daily Low Blood Glucose Index reduces much faster when the TE-based tuning is applied. The results imply that automatic and personalized tuning based on TE reduces the learning period and improves the overall performance of the AC algorithm.","1094-687X;1094687X","Electronic:978-1-4577-0216-7; POD:978-1-4577-0215-0; USB:978-1-4577-0214-3","10.1109/EMBC.2013.6610293","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6610293","","Algorithm design and analysis;Diabetes;Insulin;Integrated circuits;Learning (artificial intelligence);Sugar;Vectors","blood;entropy;learning (artificial intelligence);medical computing;paediatrics;sugar","Actor-Critic learning approach;TE-based initialization;adolescents;artificial pancreas;automatic insulin infusion;basal rate;control variability grid analysis;glucose regulation;glucose signals;insulin signals;insulin-to-carbohydrate ratio;low-blood glucose index;patient-specific control strategy;personalized tuning;reinforcement learning control algorithm;transfer entropy;type 1 diabetes","Adolescent;Adult;Algorithms;Blood Glucose;Child;Humans;Insulin;Pancreas, Artificial;Precision Medicine;Signal Processing, Computer-Assisted","3","","27","","","","3-7 July 2013","","IEEE","IEEE Conferences"
"A Three-Layered Mutually Reinforced Model for Personalized Citation Recommendation","X. Cai; J. Han; W. Li; R. Zhang; S. Pan; L. Yang","School of Automation, Northwestern Polytechnical University, Xi'an 710072, China.","IEEE Transactions on Neural Networks and Learning Systems","","2018","Early Access","Early Access","1","12","Fast-growing scientific papers pose the problem of rapidly and accurately finding a list of reference papers for a given manuscript. Citation recommendation is an indispensable technique to overcome this obstacle. In this paper, we propose a citation recommendation approach via mutual reinforcement on a three-layered graph, in which each paper, author or venue is represented as a vertex in the paper layer, author layer, and venue layer, respectively. For personalized recommendation, we initiate the random walk separately for each query researcher. However, this has a high computational complexity due to the large graph size. To solve this problem, we apply a three-layered interactive clustering approach to cluster related vertices in the graph. Personalized citation recommendations are then made on the subgraph, generated by the clusters associated with each researcher's needs. When evaluated on the ACL anthology network, DBLP, and CiteSeer ML data sets, the performance of our proposed model-based citation recommendation approach is comparable with that of other state-of-the-art citation recommendation approaches. The results also demonstrate that the personalized recommendation approach is more effective than the nonpersonalized recommendation approach.","2162-237X;2162237X","","10.1109/TNNLS.2018.2817245","China Postdoctoral Science Foundation; National Natural Science Foundation of China; Research Grants Council of Hong Kong; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8337085","Mutually reinforced model;personalized citation recommendation;three-layered interactive clustering.","Clustering algorithms;Computational complexity;Context modeling;Data models;Hybrid power systems;Indexes;Learning systems","","","","","","","","","20180412","","","IEEE","IEEE Early Access Articles"
"Evaluation of trust in robots: A cognitive approach","B. Kumar; A. D. Dubey","Department of CS/IS SMCS-CEST, Fiji National University, Fiji","2017 International Conference on Computer Communication and Informatics (ICCCI)","20171123","2017","","","1","6","The study of Human-Robot interaction faces one of the biggest challenges in measuring the trustworthiness of the robots. The enhancement and the augmentation of the human capabilities using the human robot integration are dependent on the reliability and dependability of the robots. These factors become more significant when the participation of the robot is the human robot integration is active and the cohesion between humans and robots is high. In order to measure the trust and other cognitive parameters of the robot, we have designed trust model in this research paper. This paper evaluates the trust of a customized robot while performing a task using three different algorithms. The algorithms used for the path planning task in this paper are simple artificial neural network; reinforcement based artificial neural network and Situation-Operator Model. The trust model proposed in this paper has been simulated using the results obtained while the robot performed its tasks using the three algorithms. The results show that the trust of the robot increases with each learning cycle thereby indicating that the training of the robot enhances the trust parameter of the robot.","","CD:978-1-4673-8853-5; Electronic:978-1-4673-8855-9; POD:978-1-4673-8856-6","10.1109/ICCCI.2017.8117701","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8117701","Capability;Cognitive;Human Computer Interaction;Robot;Trust Model","Artificial neural networks;Indexes;Informatics;Path planning;Robots","human-robot interaction;learning (artificial intelligence);man-machine systems;neural nets;path planning;robots","Situation-Operator Model;customized robot;human capabilities;human robot integration;robot increases;robot trustworthiness;trust model;trust parameter","","","","","","","","5-7 Jan. 2017","","IEEE","IEEE Conferences"
"Recurrent neural-network training by a learning automaton approach for trajectory learning and control system design","M. K. Sudareshan; T. A. Condarcure","Dept. of Electr. & Comput. Eng., Arizona Univ., Tucson, AZ, USA","IEEE Transactions on Neural Networks","20020806","1998","9","3","354","368","We present a training approach using concepts from the theory of stochastic learning automata that eliminates the need for computation of gradients. This approach also offers the flexibility of tailoring a number of specific training algorithms based on the selection of linear and nonlinear reinforcement rules for updating automaton action probabilities. The training efficiency is demonstrated by application to two complex temporal learning scenarios, viz, learning of time-dependent continuous trajectories and feedback controller designs for continuous dynamical plants. For the first problem, it is shown that training algorithms can be tailored following the present approach for a recurrent neural net to learn to generate a benchmark circular trajectory more accurately than possible with existing gradient-based training procedures. For the second problem, it is shown that recurrent neural-network-based feedback controllers can be trained for different control objectives","1045-9227;10459227","","10.1109/72.668879","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=668879","","Adaptive control;Application software;Automatic control;Backpropagation;Computational complexity;Control systems;Learning automata;Microcomputers;Recurrent neural networks;Stochastic processes","control system synthesis;learning automata;learning systems;neurocontrollers;recurrent neural nets","control system design;feedback control;learning systems;recurrent neural-network;reinforcement rules;stochastic learning automaton;temporal learning;trajectory learning","","22","","45","","","","May 1998","","IEEE","IEEE Journals & Magazines"
"A distributed reinforcement learning approach to maximize resource utilization and control handover dropping in multimedia wireless networks","E. Alexandri; G. Martinez; D. Zeghlache","Motorola Labs, Gif-sur-Yvette, France","The 13th IEEE International Symposium on Personal, Indoor and Mobile Radio Communications","20021210","2002","5","","2249","2253 vol.5","A new scheme to maximize resource utilization in a cellular network while respecting constraints on handover dropping probability is proposed and analyzed. The constraints are set for each traffic class separately and have to be respected by the network independently of the area in a localized manner. The problem is formulated as a Markov Decision Process (MDP) and solved by making use of the model-free simulation-based Q-learning algorithm that runs at each cell. Integration of the handover limit in the model is achieved by observing which of the new call arrivals, at a particular state of the system, are mostly responsible for violation of the handover dropping limit. Through trial and error, the algorithm proceeds to the statistical elimination of new admissions in the system, those causing excessive dropping. Results obtained via the proposed Reinforcement Learning (RL) based approach are compared with a resource allocation that takes into consideration heterogeneous and unevenly distributed traffic over the geographical area under consideration. For the scenarios examined, comparable results and performance are observed with an advantage for RL in blocking and utilization.","","POD:0-7803-7589-0","10.1109/PIMRC.2002.1046544","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1046544","","Bandwidth;Communication system traffic control;Intelligent networks;Land mobile radio cellular systems;Learning;Quality of service;Resource management;Telecommunication traffic;Traffic control;Wireless networks","Markov processes;cellular radio;learning (artificial intelligence);multimedia communication;probability","Markov decision process;call arrivals;cellular network;distributed reinforcement learning approach;handover dropping;handover dropping probability;handover limit;model-free simulation-based Q-learning algorithm;multimedia wireless networks;resource utilization;statistical elimination;traffic class;unevenly distributed traffic","","3","","4","","","","15-18 Sept. 2002","","IEEE","IEEE Conferences"
"A Location Management Scheme with Reinforcement Learning for PCS Networks","Y. h. Zhu; G. Xiao; Z. y. Li; F. Zhu","College of Information Engineering, Zhejiang University of Technology, Hangzhou, China 310032, phone: +86-571-88320163; fax: +86-571-88320163; e-mail: yhzhu@zjut.edu.cn","2007 IEEE International Conference on Networking, Sensing and Control","20070625","2007","","","224","227","Mobility management, consisting of location management and handoff management, is a challenge for personal communication services (PCS) networks. Location management mainly involves two operations: location update and paging. A two-stage paging strategy with reinforcement learning is proposed. Under this scheme, each cell in a location area is given a preference. Besides, a small real number is used to decide whether to choose and page cells with higher preferences or with lower ones during the first paging stage so that the scheme can quickly adapt to the moving pattern of mobiles. Simulation results show that the proposed paging strategy can reduce the cost as much as 25%, compared with the paging strategy of the basic location management scheme used in the existing PCS networks.","","CD-ROM:1-4244-1076-2; POD:1-4244-1075-4","10.1109/ICNSC.2007.372781","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4238994","Personal communication service (PCS) networks;location management;mobility management","Communication switching;Conference management;Databases;Learning;Mobile communication;Mobile radio mobility management;Paging strategies;Personal communication networks;Personal digital assistants;Wireless sensor networks","learning (artificial intelligence);mobile computing;mobility management (mobile radio);personal communication networks","handoff management;location management scheme;mobility management;paging strategy;personal communication services;reinforcement learning","","0","","22","","","","15-17 April 2007","","IEEE","IEEE Conferences"
"Learning to Ground in Spoken Dialogue Systems","O. Pietquin","&#201;cole Sup&#233;rieure d'&#201;lectricit&#233; - SUP&#201;LEC, Metz Campus - IMS Team, 2 rue &#201;douard Belin - F-57070 Metz - FRANCE. e-mail: olivier.pietquin@supelec.fr","2007 IEEE International Conference on Acoustics, Speech and Signal Processing - ICASSP '07","20070604","2007","4","","IV-165","IV-168","Machine learning methods such as reinforcement learning applied to dialogue strategy optimization has become a leading subject of researches since the mid 90's. Indeed, the great variability of factors to take into account makes the design of a spoken dialogue system a tailoring task and reusability of previous work is very difficult. Yet, techniques such as reinforcement learning are very demanding in training data while obtaining a substantial amount of data in the particular case of spoken dialogues is time-consuming and therefore expansive. In order to expand existing data sets, dialogue simulation techniques are becoming a standard solution. In this paper, we present a user model for realistic spoken dialogue simulation and a method for using this model so as to simulate the grounding process. This allows including grounding subdialogues as actions in the reinforcement learning process and learning adapted strategy.","1520-6149;15206149","CD-ROM:1-4244-0728-1; POD:1-4244-0727-3","10.1109/ICASSP.2007.367189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4218063","Speech Communication;Unsupervised Learning;User Modelling","Automatic speech recognition;Grounding;Learning systems;Machine learning;Man machine systems;Optimization methods;Space exploration;Speech processing;Speech synthesis;Stochastic processes","interactive systems;speech-based user interfaces;unsupervised learning","dialogue simulation techniques;grounding process;realistic spoken dialogue simulation;reinforcement learning;spoken dialogue systems","","2","","15","","","","15-20 April 2007","","IEEE","IEEE Conferences"
"Design and Evaluation of a Self-Learning HTTP Adaptive Video Streaming Client","M. Claeys; S. Latre; J. Famaey; F. De Turck","Dept. of Inf. Tech., Ghent Univ., Ghent, Belgium","IEEE Communications Letters","20140416","2014","18","4","716","719","HTTP Adaptive Streaming (HAS) is becoming the de facto standard for Over-The-Top (OTT)-based video streaming services such as YouTube and Netflix. By splitting a video into multiple segments of a couple of seconds and encoding each of these at multiple quality levels, HAS allows a video client to dynamically adapt the requested quality during the playout to react to network changes. However, state-of-the-art quality selection heuristics are deterministic and tailored to specific network configurations. Therefore, they are unable to cope with a vast range of highly dynamic network settings. In this letter, a novel Reinforcement Learning (RL)-based HAS client is presented and evaluated. The self-learning HAS client dynamically adapts its behaviour by interacting with the environment to optimize the Quality of Experience (QoE), the quality as perceived by the end-user. The proposed client has been thoroughly evaluated using a network-based simulator and is shown to outperform traditional HAS clients by up to 13% in a mobile network environment.","1089-7798;10897798","","10.1109/LCOMM.2014.020414.132649","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6746772","Streaming media;intelligent agent;learning systems;quality of service","Adaptive systems;Bandwidth;Bit rate;Convergence;Standards;Streaming media;Video sequences","hypermedia;learning (artificial intelligence);quality of experience;transport protocols;video streaming","OTT media streaming;QoE;mobile network environment;network-based simulator;novel reinforcement learning based HAS client;over-the-top based video streaming services;quality of experience;self-learning HAS client;self-learning HTTP adaptive video streaming client","","27","","11","","","20140221","April 2014","","IEEE","IEEE Journals & Magazines"
"Self-organized femto-to-macro interference coordination with partial information","A. Galindo-Serrano; L. Giupponi","Centre Tecnol. de Telecomunicacions de Catalunya (CTTC), Castelldefels, Spain","2013 IEEE 24th International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC Workshops)","20140109","2013","","","111","116","In this paper we propose a self-organized method for Intercell Interference Coordination (ICIC) between femto and macro layers. We consider the challenging situation where femtocells are completely autonomous, i.e. they do not receive feedback from the macro network. The absence of a macro to femto interface is compliant with 3GPP Releases 10. We propose a distributed learning approach, based on Reinforcement Learning (RL), for environments characterized by partial information, due to the lack of communication between femtos and macros. The theory behind this approach is funded in the Partially Observable Markov Decision Process (POMDP). The POMDP requires to construct a set of beliefs about the environment. These beliefs are constructed following the spatial Interpolation theory, which allows to estimate the interference perceived by the macrousers. Simulation results show that, through the proposed methodology, femtocells can autonomously learn a transmission power policy to manage the aggregated interference at macrousers. Performances are compared to the complete information situation, which is compliant with the status of Release 11.","","Electronic:978-1-4799-0122-7; POD:978-1-4799-0121-0; USB:978-1-4799-0120-3","10.1109/PIMRCW.2013.6707847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6707847","Femtocell network;POMDP;interference management;multiagent system;spatial interpolation","Estimation;Femtocells;Interference;Interpolation;Macrocell networks;OFDM;Signal to noise ratio","Markov processes;femtocellular radio;learning (artificial intelligence);telecommunication computing","3GPP Releases 10;POMDP;RL;distributed learning approach;femtocell;intercell interference coordination;macrouser;partially observable Markov decision process;reinforcement learning;self-organized femto-to-macro interference coordination;spatial interpolation theory;transmission power policy","","0","1","16","","","","8-9 Sept. 2013","","IEEE","IEEE Conferences"
"Extraction of a reward expectation signal from cortical units following ballistic movements generated by a brain machine interface","D. McNiel; M. Akanda; A. Tarigoppula; P. Y. Chhatbar; J. Francis","Dept. of Phys. & Pharm., State University of New York Downstate Med. Center, Brooklyn, NY","2014 IEEE Signal Processing in Medicine and Biology Symposium (SPMB)","20150108","2014","","","1","1","Movement decoding algorithms used in today's brain-machine interface (BMI) technologies require movement-related neural activity in large quantities as training data to decode with sufficient accuracy the intended movements of the user. Because of physical disability the end users of BMI systems may be unable to readily provide such training data. Moreover, variability in the neural control of movements across patients with disability may result in individually unique training data. These issues limit the generalizability of movement decoding algorithms across BMI users. One potential method of circumventing this generalizability limitation and individualizing BMI technology is the use of reinforcement learning, a group of techniques that require minimal feedback in order to find solutions to an arbitrary problem. One promising means of providing feedback to a reinforcement learning-based BMI is via a neural reward signal found in multiple cortical and subcortical areas. Particularly attractive is the idea of parallel extraction of both the movement control signal and the reward signal from the same electrode array. We examined the neural signal underlying the expectation of reward depending on the probability of successfully reaching a target given the initial ballistic movement generated by a BMI. The real-time extraction of such signal could be used to determine if the user expects a movement generated by a BMI to succeed or fail. This information could then be used to update the control architecture of the BMI to generate an output more in line with the user's intention.","","Electronic:978-1-4799-8184-7; POD:978-1-4799-8185-4","10.1109/SPMB.2014.7002960","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7002960","","Accuracy;Biomedical engineering;Decoding;Educational institutions;Nervous system;Neurosurgery;Training data","biomechanics;biomedical electrodes;brain;brain-computer interfaces;decoding;feature extraction;feedback;learning (artificial intelligence);medical control systems;motion control;neurophysiology","arbitrary problem;brain-machine interface;cortical units;electrode array;generalizability limitation;individualizing BMI technology;individually unique training data;initial ballistic movement;intended user movements;minimal feedback;movement decoding algorithms;movement-related neural activity;multiple cortical areas;neural control variability;parallel extraction;physical disability;real-time extraction;reinforcement learning;reinforcement learning-based BMI;reward expectation signal extraction;subcortical areas;training data decoding","","0","","","","","","13-13 Dec. 2014","","IEEE","IEEE Conferences"
