Title,Abstract,Keywords,Domain,Domain other,Database,How many learners are used?,Where are traits of individuals included?,Is training performed online or in batch?,Is training performed on a simulator?,Is training performed on static real life data?,"Is training performed live, in a real-life setting?",Is an evaluation performed on a simulator?,Is an evaluation performed on static real life data?,Is a live evaluation performed in a real life setting?,Is a comparison with 'no personalization' performed?,Is there a comparison between RL/CB and other personalization techniques?,Is suitability of actions explicitly defined by users?,Is suitability of actions implicitly derived from observations on user behavior?,Is safety mentioned as a concern in the application?,Are models of user responses to system behavior available?,Are data on human responses to system behavior available?,Can new interactions with users be sampled with ease?,Is privacy mentioned as a concern in the application?,Can all information to base personalization on be measured directly?,algorithms,Source Title,Authors,Authors with affiliations,Citation Count,DOI,Type,Year,Bibtex_key,Bibtex
A contextual-bandit approach to personalized news article recommendation,"Personalized web services strive to adapt their services (advertisements, news articles, etc.) to individual users by making use of both content and user information. Despite a few recent advances, this problem remains challenging for at least two reasons. First, web service is featured with dynamically changing pools of content, rendering traditional collaborative filtering methods inapplicable. Second, the scale of most web services of practical interest calls for solutions that are both fast in learning and computation. In this work, we model personalized recommendation of news articles as a contextual bandit problem, a principled approach in which a learning algorithm sequentially selects articles to serve users based on contextual information about the users and articles, while simultaneously adapting its article-selection strategy based on user-click feedback to maximize total user clicks. The contributions of this work are three-fold. First, we propose a new, general contextual bandit algorithm that is computationally efficient and well motivated from learning theory. Second, we argue that any bandit algorithm can be reliably evaluated offline using previously recorded random traffic. Finally, using this offline evaluation method, we successfully applied our new algorithm to a Yahoo Front Page Today Module dataset containing over 33 million events. Results showed a 12.5% click lift compared to a standard context-free bandit algorithm, and the advantage becomes even greater when data gets more scarce. © 2010 International World Wide Web Conference Committee (IW3C2).",contextual bandit; exploration/exploitation dilemma; personalization; recommender systems; web service,Entertainment,,SCOPUS,1,state representation,online,n,y,n,n,y,n,y,n,n,y,n,n,y,y,y,n,LinUCB,"Proceedings of the 19th International Conference on World Wide Web, WWW '10","Li L., Chu W., Langford J., Schapire R.E.","Li, L., Yahoo Labs., United States; Chu, W., Yahoo Labs., United States; Langford, J., Yahoo Labs., United States; Schapire, R.E., Dept. of Computer Science, Princeton University, United States",350.0,10.1145/1772690.1772758,Conference Paper,2010-01-01,Li_2010," @article{Li_2010, title={A contextual-bandit approach to personalized news article recommendation}, ISBN={9781605587998}, url={http://dx.doi.org/10.1145/1772690.1772758}, DOI={10.1145/1772690.1772758}, journal={Proceedings of the 19th international conference on World wide web - WWW  ’10}, publisher={ACM Press}, author={Li, Lihong and Chu, Wei and Langford, John and Schapire, Robert E.}, year={2010}}
"
Reinforcement learning design for cancer clinical trials,"We develop reinforcement learning trials for discovering individualized treatment regimens for lifethreatening diseases such as cancer. A temporal-difference learning method called Q-learning is utilized that involves learning an optimal policy from a single training set of finite longitudinal patient trajectories. Approximating the Q-function with time-indexed parameters can be achieved by using support vector regression or extremely randomized trees. Within this framework, we demonstrate that the procedure can extract optimal strategies directly from clinical data without relying on the identification of any accurate mathematical models, unlike approaches based on adaptive design. We show that reinforcement learning has tremendous potential in clinical research because it can select actions that improve outcomes by taking into account delayed effects even when the relationship between actions and outcomes is not fully known. To support our claims, the methodology's practical utility is illustrated in a simulation analysis. In the immediate future, we will apply this general strategy to studying and identifying new treatments for advanced metastatic stage IIIB/IV non-small cell lung cancer, which usually includes multiple lines of chemotherapy treatment. Moreover, there is significant potential of the proposed methodology for developing personalized treatment strategies in other cancers, in cystic fibrosis, and in other life-threatening diseases. Copyright © 2009 John Wiley & Sons, Ltd.",Adaptive design; Clinical trials; Dynamic treatment regime; Extremely randomized trees; Multistage decision problems; Non-small cell lung cancer; Optimal policy; Reinforcement learning; Support vector regression,Health,,SCOPUS,1,state representation,batch,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,y,Q-Learning,Statistics in Medicine,"Zhao Y., Kosorok M.R., Zeng D.","Zhao, Y., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, United States; Kosorok, M.R., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, United States; Zeng, D., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, United States",68.0,10.1002/sim.3720,Article,2009-01-01,Zhao_2009," @article{Zhao_2009, title={Reinforcement learning design for cancer clinical trials}, volume={28}, ISSN={1097-0258}, url={http://dx.doi.org/10.1002/sim.3720}, DOI={10.1002/sim.3720}, number={26}, journal={Statistics in Medicine}, publisher={Wiley}, author={Zhao, Yufan and Kosorok, Michael R. and Zeng, Donglin}, year={2009}, month={Nov}, pages={3294–3315}}
"
Reinforcement learning agent for personalized information filtering,"This paper describes a method for learning user's interests in the Web-based personalized information filtering system called WAIR. The proposed method analyzes user's reactions to the presented documents and learns from them the profiles for the individual users. Reinforcement learning is used to adapt the term weights in the user profile so that user's preferences are best represented. In contrast to conventional relevance feedback methods which require explicit user feedbacks, our approach learns user preferences implicitly from direct observations of user behaviors during interaction. Field tests have been made which involved 7 users reading a total of 7,700 HTML documents during 4 weeks. The proposed method showed superior performance in personalized information filtering compared to the existing relevance feedback methods.",,Other,Information filtering,,1/person,state representation,online,n,n,y,n,n,y,y,y,n,y,n,n,y,y,n,y,Q-Learning,"International Conference on Intelligent User Interfaces, Proceedings IUI","Seo Young-Woo, Zhang Byoung-Tak","Seo, Young-Woo, Seoul Natl Univ, Seoul, South Korea; Zhang, Byoung-Tak, Seoul Natl Univ, Seoul, South Korea",61.0,,Conference Paper,2000-01-01,seo2000reinforcement,"@inproceedings{seo2000reinforcement,
  title={A reinforcement learning agent for personalized information filtering},
  author={Seo, Young-Woo and Zhang, Byoung-Tak},
  booktitle={Proceedings of the 5th international conference on Intelligent user interfaces},
  pages={248--251},
  year={2000},
  organization={ACM}
}
"
Reinforcement learning strategies for clinical trials in nonsmall cell lung cancer,"Typical regimens for advanced metastatic stage IIIB/IV nonsmall cell lung cancer (NSCLC) consist of multiple lines of treatment. We present an adaptive reinforcement learning approach to discover optimal individualized treatment regimens from a specially designed clinical trial (a ""clinical reinforcement trial"") of an experimental treatment for patients with advanced NSCLC who have not been treated previously with systemic therapy. In addition to the complexity of the problem of selecting optimal compounds for first- and second-line treatments based on prognostic factors, another primary goal is to determine the optimal time to initiate second-line therapy, either immediately or delayed after induction therapy, yielding the longest overall survival time. A reinforcement learning method calledQ-learning is utilized, which involves learning an optimal regimen from patient data generated from the clinical reinforcement trial. Approximating theQ-function with time-indexed parameters can be achieved by using a modification of support vector regression that can utilize censored data. Within this framework, a simulation study shows that the procedure can extract optimal regimens for two lines of treatment directly from clinical data without prior knowledge of the treatment effect mechanism. In addition, we demonstrate that the design reliably selects the best initial time for second-line therapy while taking into account the heterogeneity of NSCLC across patients. © 2011, The International Biometric Society.",Adaptive design; Dynamic treatment regime; Individualized therapy; Multistage decision problems; Nonsmall cell lung cancer; Personalized medicine; Q-learning; Reinforcement learning; Support vector regression,Health,,SCOPUS,1/group,state representation,batch,y,n,n,y,y,n,y,n,n,y,n,n,n,n,n,y,Q-Learning,Biometrics,"Zhao Y., Zeng D., Socinski M.A., Kosorok M.R.","Zhao, Y., Global Biostatistics and Epidemiology, Amgen Inc., One Amgen Center Drive, Thousand Oaks, CA 91320, United States; Zeng, D., Department of Biostatistics, University of North Carolina at Chapel Hill, 3101 McGavran-Greenberg, CB 7420, Chapel Hill, NC 27599, United States; Socinski, M.A., Department of Medicine, University of North Carolina at Chapel Hill, Physicians Office Building, 170 Manning Drive, Chapel Hill, NC 27599, United States; Kosorok, M.R., Department of Biostatistics, University of North Carolina at Chapel Hill, 3101 McGavran-Greenberg, CB 7420, Chapel Hill, NC 27599, United States",50.0,10.1111/j.1541-0420.2011.01572.x,Article,2011-01-01,Zhao_2011," @article{Zhao_2011, title={Reinforcement Learning Strategies for Clinical Trials in Nonsmall Cell Lung Cancer}, volume={67}, ISSN={0006-341X}, url={http://dx.doi.org/10.1111/j.1541-0420.2011.01572.x}, DOI={10.1111/j.1541-0420.2011.01572.x}, number={4}, journal={Biometrics}, publisher={Wiley}, author={Zhao, Yufan and Zeng, Donglin and Socinski, Mark A. and Kosorok, Michael R.}, year={2011}, month={Mar}, pages={1422–1433}}
"
Learning user's preferences by analyzing Web-browsing behaviors,"This paper describes a method for an information filtering agent to learn user's preferences. The proposed method observes user's reactions to the filtered documents and learns from them the profiles for the individual users. Reinforcement learning is used to adapt the most significant terms that best represent user's interests. In contrast to conventional relevance feedback methods which require explicit user feedbacks, our approach learns user preferences implicitly from direct observations of browsing behaviors during interaction. Field tests have been made which involved 10 users reading a total of 18,750 HTML documents during 45 days. The proposed method showed superior performance in personalized information filtering compared to the existing relevance feedback methods.",,Entertainment,,SCOPUS,1/person,state representation,online,n,y,n,n,y,n,y,y,n,y,n,n,n,y,n,y,Q-Learning,Proceedings of the International Conference on Autonomous Agents,"Seo Young-Woo, Zhang Byoung-Tak","Seo, Young-Woo, Seoul Natl Univ, Seoul, South Korea; Zhang, Byoung-Tak, Seoul Natl Univ, Seoul, South Korea",47.0,,Conference Paper,2000-01-01,seo2000learning,"@inproceedings{seo2000learning,
  title={Learning user's preferences by analyzing Web-browsing behaviors},
  author={Seo, Young-Woo and Zhang, Byoung-Tak},
  booktitle={Proceedings of the fourth international conference on Autonomous agents},
  pages={381--387},
  year={2000},
  organization={ACM}
}
"
Personalized web-document filtering using reinforcement learning,"Document filtering is increasingly deployed in Web environments to reduce information overload of users. We formulate online information filtering as a reinforcement learning problem, i.e., TD(0). The goal is to learn user profiles that best represent information needs and thus maximize the expected value of user relevance feedback. A method is then presented that acquires reinforcement signals automatically by estimating user's implicit feedback from direct observations of browsing behaviors. This ""learning by observation"" approach is contrasted with conventional relevance feedback methods which require explicit user feedbacks. Field tests have been performed that involved 10 users reading a total of 18,750 HTML documents during 45 days. Compared to the existing document filtering techniques, the proposed learning method showed superior performance in information quality and adaptation speed to user preferences in online filtering.",,Entertainment,,SCOPUS,1/person,state representation,other,n,y,y,n,y,y,y,y,n,y,n,n,y,y,n,n,TD-Learning,Applied Artificial Intelligence,"Zhang B.-T., Seo Y.-W.","Zhang, B.-T., Biointelligence Lab., Sch. of Comp. Sci. and Engineering, Seoul National University, Seoul, South Korea, Biointelligence Lab., Sch. of Comp. Sci. and Engineering, Seoul National University, Seoul 151-742, South Korea; Seo, Y.-W., Biointelligence Lab., Sch. of Comp. Sci. and Engineering, Seoul National University, Seoul, South Korea",41.0,10.1080/088395101750363993,Article,2001-01-01,Zhang_2001," @article{Zhang_2001, title={Personalized web-document filtering using reinforcement learning}, volume={15}, ISSN={1087-6545}, url={http://dx.doi.org/10.1080/088395101750363993}, DOI={10.1080/088395101750363993}, number={7}, journal={Applied Artificial Intelligence}, publisher={Informa UK Limited}, author={Zhang, Byoung-Tak and Seo, Young-Woo}, year={2001}, month={Aug}, pages={665–685}}
"
Optimistic bayesian sampling in contextual-bandit problems,"In sequential decision problems in an unknown environment, the decision maker often faces a dilemma over whether to explore to discover more about the environment, or to exploit current knowledge. We address the exploration-exploitation dilemma in a general setting encompassing both standard and contextualised bandit problems. The contextual bandit problem has recently resurfaced in attempts to maximise click-through rates in web based applications, a task with significant commercial interest. In this article we consider an approach of Thompson (1933) which makes use of samples from the posterior distributions for the instantaneous value of each action. We extend the approach by introducing a new algorithm, Optimistic Bayesian Sampling (OBS), in which the probability of playing an action increases with the uncertainty in the estimate of the action value. This results in better directed exploratory behaviour. We prove that, under unrestrictive assumptions, both approaches result in optimal behaviour with respect to the average reward criterion of Yang and Zhu (2002). We implement OBS and measure its performance in simulated Bernoulli bandit and linear regression domains, and also when tested with the task of personalised news article recommendation on a Yahoo! Front Page Today Module data set. We find that OBS performs competitively when compared to recently proposed benchmark algorithms and outperforms Thompson's method throughout. © 2012 Benedict C. May, Nathan Korda, Anthony Lee and David S. Leslie.",Contextual bandits; Exploration-exploitation; Multi-armed bandits; Sequential allocation; Thompson sampling,Commerce,,SCOPUS,1/person,state representation,batch,n,y,n,n,y,n,n,y,n,n,n,n,y,y,n,y,"Optimistic Bayesian Sampling (OBS),Thompson Sampling",Journal of Machine Learning Research,"May B.C., Korda N., Lee A., Leslie D.S.","May, B.C., School of Mathematics, University of Bristol, Bristol, BS8 1TW, United Kingdom; Korda, N., Oxford-Man Institute, University of Oxford, Walton Well Road, Oxford, OX2 6ED, United Kingdom; Lee, A., Oxford-Man Institute, University of Oxford, Walton Well Road, Oxford, OX2 6ED, United Kingdom; Leslie, D.S., School of Mathematics, University of Bristol, Bristol, BS8 1TW, United Kingdom",40.0,,Article,2012-01-01,may2012optimistic,"@article{may2012optimistic,
  title={Optimistic Bayesian sampling in contextual-bandit problems},
  author={May, Benedict C and Korda, Nathan and Lee, Anthony and Leslie, David S},
  journal={Journal of Machine Learning Research},
  volume={13},
  number={Jun},
  pages={2069--2106},
  year={2012}
}
"
A personalized and integrative comparison-shopping engine and its applications,"Agents are the catalysts for commerce on the Web today. For example, comparison-shopping agents mediate the interactions between consumers and suppliers in order to yield markets that are more efficient. However, today's shopping agents are price-dominated, unreflective of the nature of supplier/consumer differentiation or the changing course of differentiation over time. This paper aims to tackle this dilemma and advances shopping agents into a stage where both kinds of differentiation are taken into account for enhanced understanding of the realities. We call them personalized and integrative shopping agents. These agents can leverage the interactive power of the Web for a more accurate understanding of consumer's preferences. This paper then presents a comparison-shopping engine that can be easily instantiated to become personalized and integrative shopping agents. This engine comprises of a product/merchant information collector, a consumer behavior extractor, a user profile manager, and an on-line learning personalized ranking module. We have built this engine and instantiated a comparison-shopping system for collecting preliminary evaluation results. The results show that this system is quite promising in overcoming the reality challenges of comparison shopping. In order to strengthen the contributions of this engine, we also gave a fielded application of this engine for personalized travel information discovery and explained the great potentials of this engine for a variety of comparison-shopping tasks. © 2002 Elsevier Science B.V. All rights reserved.",(Multi-) agent systems; Comparison shopping; Consumer valuation models; Neural networks; Reinforcement learning,Commerce,,SCOPUS,1,not used,online,n,n,y,n,n,y,n,n,y,n,n,y,y,y,n,y,Q-Learning,Decision Support Systems,Yuan S.-T.,"Yuan, S.-T., Information Management Department, Fu-Jen University, 242 Taipei, Taiwan",38.0,10.1016/S0167-9236(02)00077-5,Conference Paper,2003-01-01,Yuan_2003," @article{Yuan_2003, title={A personalized and integrative comparison-shopping engine and its applications}, volume={34}, ISSN={0167-9236}, url={http://dx.doi.org/10.1016/S0167-9236(02)00077-5}, DOI={10.1016/s0167-9236(02)00077-5}, number={2}, journal={Decision Support Systems}, publisher={Elsevier BV}, author={Yuan, Soe-Tsyr}, year={2003}, month={Jan}, pages={139–156}}
"
Usage-based web recommendations: A reinforcement learning approach,"Information overload is no longer news; the explosive growth of the Internet has made this issue increasingly serious for Web users. Users are very often overwhelmed by the huge amount of information and are faced with a big challenge to find the most relevant information in the right time. Recommender systems aim at pruning this information space and directing users toward the items that best meet their needs and interests. Web Recommendation has been an active application area in Web Mining and Machine Learning research. In this paper we propose a novel machine learning perspective toward the problem, based on reinforcement learning. Unlike other recommender systems, our system does not use the static patterns discovered from web usage data, instead it learns to make recommendations as the actions it performs in each situation. We model the problem as Q-Learning while employing concepts and techniques commonly applied in the web usage mining domain. We propose that the reinforcement learning paradigm provides an appropriate model for the recommendation problem, as well as a framework in which the system constantly interacts with the user and learns from her behavior. Our experimental evaluations support our claims and demonstrate how this approach can improve the quality of web recommendations. Copyright 2007 ACM.",Machine learning; Personalization; Recommender systems; Reinforcement learning; Web usage mining,Commerce,,SCOPUS,1,not used,batch,y,y,n,y,y,n,n,y,n,y,n,n,n,y,n,y,Q-Learning,RecSys'07: Proceedings of the 2007 ACM Conference on Recommender Systems,"Taghipour N., Kardan A., Ghidary S.S.","Taghipour, N., Amirkabir University of Technology, Department of Computer Engineering, 424, Hafez, Tehran, Iran; Kardan, A., Amirkabir University of Technology, Department of Computer Engineering, 424, Hafez, Tehran, Iran; Ghidary, S.S., Amirkabir University of Technology, Department of Computer Engineering, 424, Hafez, Tehran, Iran",31.0,10.1145/1297231.1297250,Conference Paper,2007-01-01,Taghipour_2007," @article{Taghipour_2007, title={Usage-based web recommendations}, ISBN={9781595937308}, url={http://dx.doi.org/10.1145/1297231.1297250}, DOI={10.1145/1297231.1297250}, journal={Proceedings of the 2007 ACM conference on Recommender systems  - RecSys  ’07}, publisher={ACM Press}, author={Taghipour, Nima and Kardan, Ahmad and Ghidary, Saeed Shiry}, year={2007}}
"
Design and Evaluation of a Self-Learning HTTP Adaptive Video Streaming Client,"HTTP Adaptive Streaming (HAS) is becoming the de facto standard for Over-The-Top (OTT)-based video streaming services such as YouTube and Netflix. By splitting a video into multiple segments of a couple of seconds and encoding each of these at multiple quality levels, HAS allows a video client to dynamically adapt the requested quality during the playout to react to network changes. However, state-of-the-art quality selection heuristics are deterministic and tailored to specific network configurations. Therefore, they are unable to cope with a vast range of highly dynamic network settings. In this letter, a novel Reinforcement Learning (RL)-based HAS client is presented and evaluated. The self-learning HAS client dynamically adapts its behaviour by interacting with the environment to optimize the Quality of Experience (QoE), the quality as perceived by the end-user. The proposed client has been thoroughly evaluated using a network-based simulator and is shown to outperform traditional HAS clients by up to 13% in a mobile network environment.",Streaming media;intelligent agent;learning systems;quality of service,Entertainment,,IEEE Explore,1,not used,unknown,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,y,Q-Learning,IEEE Communications Letters,M. Claeys; S. Latre; J. Famaey; F. De Turck,,27.0,10.1109/LCOMM.2014.020414.132649,IEEE Journals & Magazines,2014-01-01,Claeys_2014," @article{Claeys_2014, title={Design and Evaluation of a Self-Learning HTTP Adaptive Video Streaming Client}, volume={18}, ISSN={1089-7798}, url={http://dx.doi.org/10.1109/LCOMM.2014.020414.132649}, DOI={10.1109/lcomm.2014.020414.132649}, number={4}, journal={IEEE Communications Letters}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Claeys, Maxim and Latre, Steven and Famaey, Jeroen and De Turck, Filip}, year={2014}, month={Apr}, pages={716–719}}
"
